title|overall_price|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
105 m2 w samym centrum - jako mieszkanie lub biuro|1475042.4|105.3|4|2.0|secondary|0|1|2001.0|0.0|Mieszkanie|0.0|14008.0|1|0|0| kaszubski|śródmieście|gdynia|54.5198415|18.538188
Idelanie skomunikowane  4 pokoje widok na morze|827013.3|66.7|4|7.0|secondary|1|1|1975.0|0.0|Mieszkanie|1.0|12399.0|1|0|0| pomorska|Żabianka-Wejhera-Jelitkowo-Tysiąclecia|gdansk|54.420659|18.571526
Przestronne, ciepłe, 3-pokojowe mieszkanie!|528996.15|55.19|3|7.0|secondary|0|1|1980.0|1.0|Mieszkanie|1.0|9585.0|1|0|0| zbożowa|cisowa|gdynia|54.548571|18.443583
Mieszkanie z tarasem, 5 minut od morza|2188985.6|57.1|3|1.0|secondary|0|1|2018.0|0.0|Mieszkanie|0.0|38336.0|0|0|0| stefana okrzei|karlikowo|sopot|54.436115|18.572703
Sprzedam mieszkanie z ogrodem|619920.0|45.0|2|0.0|secondary|0|0|2004.0|1.0|Mieszkanie|1.0|13776.0|0|1|1| przytulna|jasień|gdansk|54.340089|18.560014
Mieszkanie 3 pokojowe z ogródkiem ul. Niepołomicka|719020.3|54.43|3|0.0|secondary|0|1|2022.0|0.0|Mieszkanie|0.0|13210.0|1|0|0| null|ujeścisko-łostowice|gdansk|54.31911|18.591801
3 pokoje w dużym metrażu - Gdynia Wielki Kack|798981.9700000001|82.09|3|4.0|secondary|1|0|1995.0|0.0|Mieszkanie|1.0|9733.0|1|0|0| myśliwska|wielki kack|gdynia|54.467664|18.492842
2 pokoje + kawalerka, dwupak w sercu Wrzeszcza|848988.3999999999|66.1|3|2.0|secondary|0|0|1900.0|1.0|Mieszkanie|1.0|12844.0|0|0|0| do studzienki|wrzeszcz|gdansk|54.371203|18.610702
Atrakcyjne mieszkanie 3 pokoje SOPOT|649895.4|52.1|3|10.0|secondary|0|1|1976.0|0.0|Mieszkanie|1.0|12474.0|1|0|0| władysława cieszyńskiego|brodwino|sopot|54.45625|18.536684
Duży balkon   do zamieszkania   15min centrum|758975.06|55.57|3|1.0|secondary|0|1|2017.0|0.0|Mieszkanie|0.0|13658.0|0|0|0| gen. mariusza zaruskiego|chwarzno-wiczlino|gdynia|54.492816|18.435755
Okazja trzypokojowe mieszkanie na Żabiance|610002.5|52.7|3|4.0|secondary|0|0|1970.0|0.0|Mieszkanie|1.0|11575.0|0|0|0| szyprów|Żabianka-Wejhera-Jelitkowo-Tysiąclecia|gdansk|54.420659|18.571526
Piekna Kamienica w samym sercu Wrzeszcza|1880015.04|175.44|8||secondary|1|0|1929.0|0.0|Dom szeregowy|1.0|10716.0|1|1|0| bolesława prusa|wrzeszcz|gdansk|54.388472|18.611294
Sprzedam 3 pokoje - gdynia  z widokiem na morze!|629000.2|47.8|3|9.0|secondary|1|1|1978.0|0.0|Mieszkanie|1.0|13159.0|1|0|0| strażacka|witomino|gdynia|54.500821|18.512217
3-pokojowe mieszkanie, idealne dla rodziny !|659978.41|60.71|3|2.0|secondary|1|0|1984.0|1.0|Mieszkanie|1.0|10871.0|1|0|0| marii konopnickiej|karwiny|gdynia|54.47102|18.499321
Bliźniak z ładnym ogrodem - Zakoniczyn|1460030.0|143.0|5||secondary|1|0|2004.0|1.0|Dom bliźniak|0.0|10210.0|0|1|0| elfów|ujeścisko-łostowice|gdansk|54.318534|18.582584
Mieszkanie w centrum Wrzeszcza z 2 balkonami|895965.3300000001|74.67|2|3.0|secondary|1|0|1958.0|1.0|Mieszkanie|1.0|11999.0|1|0|0| sobótki|wrzeszcz|gdansk|54.381786|18.606236
Jasne i ciepłe mieszkanie 2 pokojowe Gdańsk|588990.8|39.35|2|3.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|14968.0|1|0|0| wielkopolska|ujeścisko-łostowice|gdansk|54.31911|18.591801
Przestronne dwupokojowe mieszkanie|609974.58|53.61|2|3.0|secondary|1|0|2011.0|0.0|Mieszkanie|0.0|11378.0|1|0|0| konrada guderskiego|jasień|gdansk|54.319674|18.563248
Gotowiec inwestycyjny! Gdynia Śródmieście. Polecam!!!|499000.0|25.0|1|0.0|secondary|0|0|1940.0|1.0|Mieszkanie|1.0|19960.0|0|0|0| żwirki i wigury|śródmieście|gdynia|54.514945|18.539431
Wykończone l 2 pokoje l Wysoki Standard l Hala|698984.7999999999|40.16|2|4.0|secondary|1|1|2021.0|1.0|Mieszkanie|0.0|17405.0|1|0|0| sucha|letnica|gdansk|54.393426|18.644428
3pokoje/Gdańsk Morena/Obok tramwaju|665002.6|63.4|3|3.0|secondary|0|0|1992.0|0.0|Mieszkanie|0.0|10489.0|0|0|0| bulońska|piecki-migowo|gdansk|54.355012|18.578397
Apartament na parterze, niedaleko morza w Brzeźnie|110575.0|5.0|3|0.0|secondary|1|1|2019.0|0.0|Mieszkanie|0.0|22115.0|0|1|0| karola chodkiewicza|brzeźno|gdansk|54.405381|18.627205
Dwa pokoje z ogródkiem w gdyni !|498995.0|35.0|2|0.0|secondary|1|0|2017.0|0.0|Mieszkanie|0.0|14257.0|0|1|0| kormorana|chwarzno-wiczlino|gdynia|54.490386|18.423491
Mieszkanie - Gdańsk Przymorze|549010.0|46.0|2|9.0|secondary|0|1|1970.0|0.0|Mieszkanie|0.0|11935.0|1|0|0| obrońców wybrzeża|przymorze|gdansk|54.41007|18.596302
Art Deco - Taraz na dachu / Jacuzzi|2880024.0|98.0|3|5.0|secondary|1|1|2015.0|0.0|Mieszkanie|0.0|29388.0|0|0|0| żołnierzy i armii wojska polskiego|kamienna góra|gdynia|54.511493|18.543343
Dom na dużej, pięknej działce w centrum Gdańska.|1850076.0|204.0|5||secondary|0|0|1936.0|0.0|Dom szeregowy|0.0|9069.0|0|0|0| płowce|aniołki|gdansk|54.355351|18.632987
Mieszkanie 3 pokojowe - Myśliwska, Gdańsk Morena|726259.0|53.0|3|2.0|secondary|1|0|2011.0|0.0|Mieszkanie|0.0|13703.0|1|0|0| myśliwska|piecki-migowo|gdansk|54.350849|18.567059
Nowa cena! Nie zwlekaj, zadzwoń.|578993.0|63.5|3|2.0|secondary|0|0|1991.0|0.0|Mieszkanie|0.0|9118.0|0|0|0| zamiejska|chełm|gdansk|54.333519|18.628732
Gotowe, słoneczne mieszkanie - Gdańsk Ujeścisko!|549984.0|34.0|2|1.0|secondary|1|0|2018.0|0.0|Mieszkanie|0.0|16176.0|1|0|0| cedrowa|ujeścisko-łostowice|gdansk|54.333711|18.591182
3 pokoje/ Brzeźno/ 150m do plaży!|76825.0|5.0|3|3.0|secondary|0|0|1975.0|0.0|Mieszkanie|1.0|15365.0|0|0|0| kazimierza pułaskiego|brzeźno|gdansk|54.408753|18.634766
Ekskluzywne 3 pokoje   Gdańsk Wrzeszcz|1165363.1|70.3|3|1.0|secondary|1|1|2015.0|1.0|Mieszkanie|0.0|16577.0|1|0|0| srebrniki|wrzeszcz|gdansk|54.381786|18.606236
Dwupokojowe mieszkanie w falowcu na Przymorzu|459990.0|38.0|2|4.0|secondary|0|0|1975.0|0.0|Mieszkanie|0.0|12105.0|0|0|0| rzeczypospolitej 7b|przymorze|gdansk|54.401368|18.594909
Tylko u nas - przestronne - słoneczne|889706.0|67.3|3|1.0|secondary|0|0|2006.0|0.0|Mieszkanie|0.0|13220.0|1|0|0| stanisława hebanowskiego|chełm|gdansk|54.332494|18.627851
Mieszkanie 4-pok. w centrum Górnego Wrzeszcza w Gdańsku|1099980.0|84.0|4|3.0|secondary|1|0|1960.0|0.0|Mieszkanie|1.0|13095.0|1|0|0| romana dmowskiego|wrzeszcz|gdansk|54.380626|18.606911
Rodzinne mieszkanie w otulinie lasu- Wielki Kack|1789950.0|150.0|5|0.0|secondary|1|0|2018.0|1.0|Mieszkanie|0.0|11933.0|1|1|0| zielona laguna|wielki kack|gdynia|54.467664|18.492842
Zadbane mieszkanie 3 pokojowe w Gdyni Chwarznie (bez prowizji)|944996.0|68.0|3|1.0|secondary|1|0|2012.0|1.0|Mieszkanie|0.0|13897.0|1|0|0| zaruskiego|chwarzno-wiczlino|gdynia|54.502532|18.457566
Mieszkanie 2 pokojowe w Gdyni Leszczynkach  (bez prowizji)|419985.0|45.0|2|0.0|secondary|0|0|1955.0|1.0|Mieszkanie|1.0|9333.0|0|0|0| leszczynki|leszczynki|gdynia|54.528925|18.482921
Stylowe mieszkanie na kameralnym osiedlu|90000.0|6.0|3|1.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|15000.0|1|0|0| topazowa|ujeścisko-łostowice|gdansk|54.31911|18.591801
Mieszkanie - Gdańsk Śródmieście|725018.2|38.9|1|3.0|secondary|1|0|2013.0|0.0|Mieszkanie|0.0|18638.0|1|0|0| tandeta|śródmieście|gdansk|54.351262|18.65549
Mieszkanie - Gdańsk Śródmieście|1008990.7|50.9|1|3.0|secondary|0|0|2013.0|0.0|Mieszkanie|0.0|19823.0|0|0|0| tandeta|śródmieście|gdansk|54.351262|18.65549
Świetna lokalizacja! Dom do aranżacji.|1198920.0|120.0|6||secondary|0|0|1937.0|0.0|Dom bliźniak|0.0|9991.0|0|0|0| zakosy|siedlce|gdansk|54.351491|18.617399
Gotowy produkt inwestycyjny - Hotel Grano.|564989.28|27.31|1|1.0|secondary|0|1|2019.0|0.0|Mieszkanie|0.0|20688.0|1|0|0| pszenna|śródmieście|gdansk|54.345989|18.657542
Wyjątkowe mieszkanie w stylu loftowym !|559994.4|40.65|2|3.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|13776.0|1|0|0| wielkopolska|ujeścisko-łostowice|gdansk|54.31911|18.591801
3 pok. Generalny remont. Piękny widok. Las.|549007.0|47.0|3|10.0|secondary|0|1|1975.0|1.0|Mieszkanie|1.0|11681.0|1|0|0| podgórska|obłuże|gdynia|54.552186|18.508622
Gotowiec przy plaży|549000.0|30.0|2|0.0|secondary|0|0|1970.0|0.0|Mieszkanie|0.0|18300.0|0|0|0| jagiellońska 10|przymorze|gdansk|54.412181|18.590751
Słoneczne dwupokojowe mieszkanie!|598994.0|38.0|3|4.0|secondary|0|1|1970.0|0.0|Mieszkanie|1.0|15763.0|1|0|0| reja|górny sopot|sopot|54.4409635|18.561271
Przymorze, 2 pokoje,45m2, 1km do plaży|634995.0|45.0|2|4.0|secondary|1|0|1970.0|1.0|Mieszkanie|1.0|14111.0|1|0|0| jagiellońska|przymorze|gdansk|54.412561|18.5956
2 pokoje gotowe do zamieszkania/ kameralne osiedle|599010.66|39.57|2|1.0|secondary|1|1|2019.0|1.0|Mieszkanie|1.0|15138.0|1|0|0| cedrowa|ujeścisko-łostowice|gdansk|54.333711|18.591182
Mobilny domek letniskowy|69984.0|54.0|2||secondary|0|0|2016.0|0.0|Dom rekreacyjny|0.0|1296.0|0|0|0| nowiny|orunia górna - gdańsk południe|gdansk|54.314502|18.628625
Blisko morza! Ścisłe centrum!|1149999.54|43.93|2|8.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|26178.0|1|0|0| świętego piotra|śródmieście|gdynia|54.524781|18.545343
Dom w orłowie przy ul. wierzbowej|2600000.0|250.0|8||secondary|1|0|1935.0|0.0|Dom bliźniak|1.0|10400.0|1|1|0| wierzbowa|orłowo|gdynia|54.479701|18.547757
Sopot, 3 pokoje blisko SKM|1390021.62|94.54|3|2.0|secondary|1|0|1910.0|0.0|Mieszkanie|1.0|14703.0|0|0|0| tadeusza kościuszki|dolny sopot|sopot|54.438728|18.56428
Mieszkanie w Gdyni Śródmieście ul. Świętojańska|559000.0|43.0|1|5.0|secondary|0|0|1950.0|0.0|Mieszkanie|1.0|13000.0|0|0|0| świętojańska|śródmieście|gdynia|54.5198415|18.538188
Bezpośrednio   Przytulne, Świeże, Komfortowe   Hossa Wiszące Ogrody|719002.2000000001|62.09|3|0.0|secondary|1|1|2016.0|0.0|Mieszkanie|1.0|11580.0|1|0|0| przytulna|jasień|gdansk|54.350777|18.532794
Nowoczesne Mieszkanie 2 pokojowe|558994.0|41.0|2|2.0|secondary|0|0|2015.0|1.0|Mieszkanie|0.0|13634.0|1|0|0| janki bryla 10|chwarzno-wiczlino|gdynia|54.494602|18.440061
Przestronny skrajny szereg  z basenem|1319980.0|155.0|5||secondary|1|0|2013.0|0.0|Dom szeregowy|0.0|8516.0|0|1|0| null|chwarzno-wiczlino|gdynia|54.490386|18.423491
2 pokoje z balkonem od południa|598990.0|49.75|2|2.0|secondary|0|1|2012.0|0.0|Mieszkanie|0.0|12040.0|1|0|0| aleksandra dulin'a|ujeścisko-łostowice|gdansk|54.320784|18.576991
Wygodne, słoneczne 3 pokojowe z halą garażową.|698999.0|61.0|3|3.0|secondary|1|1|2017.0|0.0|Mieszkanie|0.0|11459.0|1|0|0| mariana kołodzieja|ujeścisko-łostowice|gdansk|54.334542|18.58575
3-pokojowe z 2018 r. z dużym ogródkiem, parter|839982.0|66.0|3|0.0|secondary|0|1|2018.0|0.0|Mieszkanie|0.0|12727.0|0|0|0| null|matarnia|gdansk|54.372639|18.517912
Trzypokojowe mieszkanie/ taras 57 m2|694998.36|51.39|3|4.0|secondary|1|1|2024.0|0.0|Mieszkanie|0.0|13524.0|1|0|0| jaworowa|jasień|gdansk|54.338307|18.562817
Przymorze 900m plaża квартира|599982.0|38.0|3|1.0|secondary|0|0|1970.0|0.0|Mieszkanie|0.0|15789.0|0|0|0| jagiellońska 10|przymorze|gdansk|54.412181|18.590751
3 pokoje z balkonem i piwnicą tuż przy lesie!|529026.0499999999|53.41|3|9.0|secondary|0|1|1982.0|1.0|Mieszkanie|1.0|9905.0|1|0|0| zbożowa|cisowa|gdynia|54.548571|18.443583
Gdańsk Jasień osiedle Optima 3 pokoje wysoki standard|74884.5|64.5|3|1.0|secondary|0|0|2021.0|0.0|Mieszkanie|0.0|1161.0|0|0|0| tadeusza jasińskiego|jasień|gdansk|54.336592|18.541398
Doskonałe mieszkanie na  Gdańskim  Ujeścisku !!!|510009.5|45.5|2|0.0|secondary|0|0|2005.0|0.0|Mieszkanie|0.0|11209.0|1|0|0| ostrołęcka|ujeścisko-łostowice|gdansk|54.333711|18.591182
2 pokoje Gdańsk Wrzeszcz|599000.0|50.0|2|0.0|secondary|1|0|1940.0|0.0|Mieszkanie|0.0|11980.0|0|0|0| trawki|wrzeszcz|gdansk|54.381786|18.606236
4 nowoczesne pokoje w Nowym Budownictwie, Zaspa|1444983.2200000002|72.26|4|2.0|secondary|1|1|2016.0|1.0|Mieszkanie|0.0|19997.0|1|0|0| powstańców wielkopolskich 5a|zaspa|gdansk|54.400267|18.610222
Mieszkanie na sprzedaż|628977.5|50.5|2|1.0|secondary|0|0|1960.0|0.0|Mieszkanie|0.0|12455.0|0|0|0| abrahama|śródmieście|gdynia|54.5198415|18.538188
Rezerwacja. Mieszkanie 2 pokojowe Gdynia Witomino|38991.2|39.95|2|2.0|secondary|1|0|1975.0|0.0|Mieszkanie|1.0|976.0|0|0|0| stawna|witomino|gdynia|54.498498|18.509001
Gdańsk Rybaki Górne 5|703488.08|39.98|2|3.0|secondary|0|0|2021.0|0.0|Mieszkanie|0.0|17596.0|0|0|0| rybaki górne 5|śródmieście|gdansk|54.357805|18.654688
4 pok. w centrum! Stare Miasto, idealna inwestycja|895028.19|70.77|4|3.0|secondary|1|0|1963.0|1.0|Mieszkanie|1.0|12647.0|1|0|0| podwale staromiejskie|śródmieście|gdansk|54.353372|18.653097
Przestronny apartament blisko morza-Invest Komfor|2990041.6|105.7|2|0.0|secondary|1|1|2008.0|0.0|Mieszkanie|0.0|28288.0|1|0|0| okrętowa|redłowo|gdynia|54.497223|18.547861
2 pokoje z ogródkiem - 900 od plaży|757500.0|60.0|2|0.0|secondary|1|0|1912.0|0.0|Mieszkanie|1.0|12625.0|0|1|0| turystyczna|wyspa sobieszewska|gdansk|54.344312|18.825662
Gotowe do zamieszkania, świeżo po remoncie.|628997.4|36.9|2|8.0|secondary|0|0|1971.0|0.0|Mieszkanie|0.0|17046.0|0|0|0| pomorska|Żabianka-Wejhera-Jelitkowo-Tysiąclecia|gdansk|54.420659|18.571526
Centrum Gdyni   Opcja inwestycyjna|95991.6|50.1|2|2.0|secondary|0|1|1955.0|0.0|Mieszkanie|1.0|1916.0|1|0|0| kazimierza pułaskiego|śródmieście|gdynia|54.520563|18.544233
Klimatyczne mieszkanie w Centrum Gdańska|920010.0|40.44|2|2.0|secondary|1|1|2021.0|0.0|Mieszkanie|0.0|22750.0|1|0|0| wałowa|śródmieście|gdansk|54.3463466|18.6662024
Przytulne i ciche z widokiem na zieleń- Gdynia|515021.0|43.25|1|0.0|secondary|1|1|2010.0|0.0|Mieszkanie|0.0|11908.0|1|0|0| wiejska|chylonia|gdynia|54.541477|18.463162
Mieszkanie - Gdynia Śródmieście|748972.46|55.57|3|3.0|secondary|1|0|1950.0|1.0|Mieszkanie|1.0|13478.0|0|0|0| świętojańska|śródmieście|gdynia|54.5198415|18.538188
Mieszkanie na sprzedaż 2 pokojowe|749982.8|42.7|2|1.0|secondary|0|0|2007.0|0.0|Mieszkanie|0.0|17564.0|0|0|0| lęborska 22|przymorze|gdansk|54.404943|18.582046
2 pokoje, K.Kurpińśkiego, blisko lasu!|430911.9|46.26|2|3.0|secondary|0|0|1983.0|1.0|Mieszkanie|1.0|9315.0|1|0|0| karola kurpińskiego|cisowa|gdynia|54.547446|18.434732
Słoneczne z widokiem na jezioro Zakoniczyn|575000.0|46.0|2|2.0|secondary|1|0|2010.0|1.0|Mieszkanie|1.0|12500.0|1|1|1| porębskiego 31|ujeścisko-łostowice|gdansk|54.334633|18.595683
Słoneczna kawalerka w świetnej lokalizacji Gdańsk Orónia Górna|455010.0|34.8|1|2.0|secondary|0|0|2001.0|0.0|Mieszkanie|1.0|13075.0|0|0|0| antczaka|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Gdynia Dąbrowa 51,5m2 Szafranowa parter 2 pokoje|498983.5|51.5|2|0.0|secondary|0|0|1990.0|0.0|Mieszkanie|0.0|9689.0|0|0|0| szafranowa|dąbrowa|gdynia|54.473863|18.465794
Z ogródkiem, gotowe do zamieszkania|66886.0|63.1|3|0.0|secondary|0|0|1984.0|0.0|Mieszkanie|1.0|1060.0|1|1|0| janiny porazińskiej|karwiny|gdynia|54.474587|18.481476
2 pokoje/ Przymorze/ przy Parku Reagana|629010.0|45.0|2|3.0|secondary|1|0|1970.0|1.0|Mieszkanie|1.0|13978.0|1|0|0| chłopska|przymorze|gdansk|54.411658|18.588208
3 pokoje/ budynek z windą / zielona okolica!|62990.76|49.56|3|1.0|secondary|1|1|2017.0|0.0|Mieszkanie|0.0|1271.0|1|0|0| niepołomicka|ujeścisko-łostowice|gdansk|54.31911|18.591801
4 pokoje, Fort Forest, taras, parking, komórka.|998970.0|80.4|4|2.0|secondary|1|0|2010.0|1.0|Mieszkanie|0.0|12425.0|0|0|0| władysława kańskiego|chwarzno-wiczlino|gdynia|54.500163|18.439063
Tylko u nas - doinwestowane - stan bardzo dobry.|1070020.0|70.0|3|1.0|secondary|1|1|2008.0|0.0|Mieszkanie|0.0|15286.0|1|0|0| myśliwska|wielki kack|gdynia|54.467664|18.492842
Centrum Wrzeszcza 103 m2|1295019.0|103.0|3|1.0|secondary|1|0|1930.0|0.0|Mieszkanie|1.0|12573.0|0|0|0| henryka sienkiewicza|wrzeszcz|gdansk|54.376172|18.609555
Mieszkanie dla dużej rodziny - ogród, las, garaż!|1789966.0799999998|147.98|6||secondary|1|0|2018.0|0.0|Dom szeregowy|0.0|12096.0|1|1|0| zielona laguna|wielki kack|gdynia|54.467664|18.492842
2 pokoje/ Przymorze/ 1000m od plaży|639000.0|45.0|2|0.0|secondary|0|0|1970.0|1.0|Mieszkanie|1.0|14200.0|1|0|0| prezydenta lecha kaczyńskiego|przymorze|gdansk|54.410915|18.600982
Mieszkanie 80 m2 w kamienicy w centrum Gdańska|1080000.0|80.0|4|1.0|secondary|0|0|1930.0|0.0|Mieszkanie|0.0|13500.0|0|0|0| null|suchanino|gdansk|54.355805|18.607162
2 poziomowy Apartament na Jaśkowej Dolinie|2000025.3|128.1|4|2.0|secondary|1|0|2006.0|1.0|Mieszkanie|0.0|15613.0|1|0|0| jaśkowa dolina|wrzeszcz|gdansk|54.369968|18.596816
2 pokoje, Wrzeszcz, Blisko morze, Blisko uczelnia|440010.0|30.0|2|1.0|secondary|0|0|1950.0|1.0|Mieszkanie|0.0|14667.0|0|0|0| sebastiana klonowicza|wrzeszcz|gdansk|54.387822|18.629295
Apartament w samym centrum Gdyni|1539005.0|65.0|2|3.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|23677.0|1|0|0| jana z kolna|śródmieście|gdynia|54.523261|18.536777
3 pokojowe mieszkanie ! Jasień !|619763.4|57.1|3|1.0|secondary|1|1|2020.0|0.0|Mieszkanie|0.0|10854.0|1|0|0| alfonsa flisykowskiego|jasień|gdansk|54.3222|18.562726
Bliźniak we Wrzeszczu, po generalnym remoncie|4789833.6|342.4|10||secondary|1|0|1920.0|0.0|Dom bliźniak|1.0|13989.0|1|1|0| jarowa|wrzeszcz|gdansk|54.381786|18.606236
Gotowiec Przymorze blisko plaży квартира|599982.0|38.0|3|1.0|secondary|0|0|1970.0|0.0|Mieszkanie|0.0|15789.0|0|0|0| jagiellońska 10|przymorze|gdansk|54.412181|18.590751
Z widokiem na morze, po generalnym remoncie|734979.8|52.6|3|7.0|secondary|1|1|1981.0|1.0|Mieszkanie|1.0|13973.0|0|0|0| null|działki leśne|gdynia|50.622272|5.573084
2- Pokojowe Mieszkanie w Centrum Gdyni|599894.87|49.37|2|4.0|secondary|0|0|1950.0|0.0|Mieszkanie|0.0|12151.0|0|0|0| władysława iv|śródmieście|gdynia|54.51567|18.538271
Wysokie sufity, klimatyczne mieszkanie !|1349977.2|85.8|3|2.0|secondary|0|0|1900.0|0.0|Mieszkanie|1.0|15734.0|1|0|0| aleja niepodległości|dolny sopot|sopot|54.442402|18.559893
Klimatyczny domek ROD !! wszystkie media !|9093.0|3.0|2||secondary|1|0|2017.0|0.0|Dom wolnostojący|1.0|3031.0|0|1|0| tadeusza jasińskiego|jasień|gdansk|54.336592|18.541398
Świetna lokalizacja   ul. Szczecińska   Przymorze|598687.1000000001|36.7|2|0.0|secondary|0|0|1960.0|0.0|Mieszkanie|0.0|16313.0|0|0|0| szczecińska|przymorze|gdansk|54.402035|18.581597
Nowe mieszkanie/lokal użytkowy 66m2 Gdynia Orłowo|1170027.25|66.01|3|0.0|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|17725.0|0|1|1| wrocławska 43|orłowo|gdynia|54.483832|18.536358
3 pokoje l Osobna kuchnia l Garaż dwustanowiskowy|792005.5|61.75|3|0.0|secondary|1|0|2017.0|1.0|Mieszkanie|0.0|12826.0|1|0|0| świętokrzyska|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Mieszkanie na sprzedaż 52,55m2 Orunia|35891.65|52.55|2|1.0|secondary|1|0|1920.0|0.0|Mieszkanie|1.0|683.0|0|0|0| trakt św. wojciecha 201|orunia-św. wojciech-lipce|gdansk|54.316967|18.629643
Biurowiec lub hostel   kilkanaście pokoi|2799968.0|544.0|10||secondary|0|0|2007.0|0.0|Dom wolnostojący|0.0|5147.0|0|0|0| null|siedlce|gdansk|52.412165|22.009869
Fajny dom na Wyspie Sobieszewskiej|1949972.55|165.35|6||secondary|1|0|2021.0|0.0|Dom bliźniak|0.0|11793.0|0|0|0| mieczysława boguckiego|wyspa sobieszewska|gdansk|54.33657|18.916016
Dwa pokoje z ogródkiem na zaspie !|684991.2|48.9|2|0.0|secondary|0|1|1980.0|0.0|Mieszkanie|1.0|14008.0|1|1|0| jerzego bajana|zaspa|gdansk|54.390056|18.606278
2 pokoje/ Przymorze/ blisko Parku Reagana|51490.0|38.0|2|3.0|secondary|1|1|1970.0|1.0|Mieszkanie|1.0|1355.0|1|0|0| jagiellońska|przymorze|gdansk|54.412561|18.5956
Mieszkanie z ogródkiem w pobliżu Góry Gradowej|619989.0|57.0|2|0.0|secondary|1|0|1930.0|0.0|Mieszkanie|1.0|10877.0|0|1|0| płowce|aniołki|gdansk|54.355351|18.632987
Świetnie nasłonecznione, blisko centrum|68270.0|5.0|4|0.0|secondary|0|0|1975.0|0.0|Mieszkanie|1.0|13654.0|1|0|0| raduńska|orunia-św. wojciech-lipce|gdansk|54.326383|18.632092
Nowe 3 pok.   52,5 m2   z windą  super lokalizacja|699016.71|52.53|3|3.0|secondary|0|1|2021.0|0.0|Mieszkanie|0.0|13307.0|1|0|0| zeusa|osowa|gdansk|54.430298|18.470018
Witawa, mieszkanie 38m2 + miejsce w hali garażowej|49981.49999999999|38.3|2|3.0|secondary|1|1|2003.0|0.0|Mieszkanie|0.0|1305.0|1|0|0| niska|witomino|gdynia|54.495464|18.506895
Centrum Gdyni - 3 pokoje, 600m nad morze !|698991.1000000001|48.7|3|0.0|secondary|0|1|1980.0|1.0|Mieszkanie|1.0|14353.0|1|0|0| partyzantów|wzgórze św. maksymiliana|gdynia|54.50296|18.542419
Trzy pokoje   Wysoki standard   Sopot Górny|975402.0|54.0|3|2.0|secondary|1|1|1972.0|0.0|Mieszkanie|0.0|18063.0|0|0|0| adama mickiewicza|górny sopot|sopot|54.438993|18.549723
Dom z potencjałem  Witomino  258M2|1500012.0|258.0|5||secondary|0|0|1988.0|0.0|Dom bliźniak|0.0|5814.0|0|0|0| null|witomino|gdynia|54.498498|18.509001
Mieszkanie w świetnej lokalizacji Centrum Gdańska|1100006.0|67.0|3|1.0|secondary|1|0|1956.0|1.0|Mieszkanie|1.0|16418.0|1|0|0| jana heweliusza|śródmieście|gdansk|54.356306|18.65071
Piękne mieszkanie w Gdyni blisko Lasów Chylońskich|980022.6|80.9|4|1.0|secondary|1|0|2012.0|1.0|Mieszkanie|1.0|12114.0|1|1|0| krokowska|chylonia|gdynia|54.539361|18.461678
3pokoje  / Gotowe do pwrowadzenia / Ustawne|599000.0|50.0|3|2.0|secondary|0|0|2016.0|0.0|Mieszkanie|0.0|11980.0|0|0|0| andrzeja grubby|ujeścisko-łostowice|gdansk|54.30615|18.594718
Okazja! Piękny apartament w centrum Gdańska|849986.7000000001|46.7|2|4.0|secondary|1|1|2018.0|1.0|Mieszkanie|0.0|18201.0|1|0|0| długa grobla|śródmieście|gdansk|54.347715|18.664475
Eleganckie 2 pokoje Aquarius Sopot|1499018.0|47.0|2|0.0|secondary|1|1|2009.0|0.0|Mieszkanie|1.0|31894.0|1|0|0| armii krajowej|górny sopot|sopot|54.440065|18.556977
Albatross Towers, ogród, miejsce w hali, komórka|1280005.0|59.0|3|0.0|secondary|0|0|2016.0|0.0|Mieszkanie|0.0|21695.0|0|0|0| rzeczpospolitej 4|przymorze|gdansk|54.402221|18.591133
Dom w Małym Kacku, działka 865 m2|1930068.0|138.0|6||secondary|0|0|1957.0|0.0|Dom wolnostojący|1.0|13986.0|0|1|0| gedymina|mały kack|gdynia|54.480511|18.525356
Apartament, Osiedle Moderna Scala, hala, komórka|1710000.0|90.0|3|5.0|secondary|1|1|2017.0|1.0|Mieszkanie|0.0|19000.0|0|0|0| łąkowa|śródmieście|gdansk|54.347715|18.664475
Rezerwacja!|380004.5|35.3|1|0.0|secondary|1|0|2006.0|0.0|Mieszkanie|0.0|10765.0|0|0|0| nasypowa|oksywie|gdynia|54.543019|18.536056
Sprzedam mieszkanie nowe, dwupoziomowe, przestrzenne, od zaraz|678989.4|65.3|4|3.0|secondary|1|1|2023.0|1.0|Mieszkanie|0.0|10398.0|1|0|0| galaktyczna|osowa|gdansk|54.430298|18.470018
