title|overall_price|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
"Taras przez całe mieszkanie | Rabaty | Zachodnie"|763810.0|39.76|3|6.0|primary|1|1||1.0|Mieszkanie|0.0|19210.51|1|0|0||siedlce|gdansk|52.412165|22.009869
Mieszkanie gotowe do wprowadzenia się!|540000.0|43.9|2|3.0|secondary|0|0|1970.0|0.0|Mieszkanie|1.0|12300.68|1|0|0||pustki cisowskie-demptowo|gdynia|54.51768|18.53892
Nowe mieszkanie Scala w Centrum Gdańska|1430000.0|59.57|3|1.0|secondary|0|1|2023.0|0.0||0.0|24005.37|1|0|0||śródmieście|gdansk|54.34902|18.6518
Apartament w wysokim standardzie Garnizon|1740000.0|77.22|3|4.0|secondary|0|1|2021.0|0.0|Mieszkanie|0.0|22533.02|0|0|0||wrzeszcz górny|gdansk|54.347591|18.641477
"Kawalerka 35 m2 | oddzielna kuchnia | City Park |"|629000.0|35.0|1|6.0|secondary|0|1||0.0|Mieszkanie|0.0|17971.43|1|0|0||zaspa|gdansk|54.34902|18.6518
4-pokojowe mieszkanie 89m2 + taras Bez Prowizji|702500.0|89.18|4|1.0||0|0|||||7877.33|0|0|1|stokłosy|kokoszki|gdansk|54.354766|18.491171
2 APARTAMENTY W JEDNYM, zacisznie i blisko morza|1189000.0|74.4|4|0.0|secondary|0|0||1.0|Mieszkanie|0.0|15981.18|0|0|0|małopolska|kamienny potok|sopot|54.456914|18.548236
464 750 Netto 5min Wyspa Spichrzów +BONUS 26+27.04|571690.0|36.8|2|0.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|15535.05|1|0|0||śródmieście|gdansk|54.34902|18.6518
2-piętrowe w okazyjnej CENIE 15min od Gdańsk Gł|556700.0|69.55|4|3.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|8004.31|1|0|0||ujeścisko-łostowice|gdansk|54.31911|18.591801
PROMOCJA do końca tygodnia_nowa PKM_15min Gd Gł|511275.0|56.5|3|1.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9049.12|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
1-pokojowe mieszkanie 79m2 + ogródek Bezpośrednio|791783.0|79.29|1|0.0||1|0|||||9985.91|0|1|0|janki bryla|chwarzno-wiczlino|gdynia|54.490386|18.423491
3pokoje.W.Otulinie.Parku.Gdynia.MałyKack.Taras|1407953.0|73.58|3|1.0|primary|1|0|2024.0|0.0||0.0|19135.0|1|0|0|wzgórze bernadowo|mały kack|gdynia|54.468501|18.513716
2-pokojowe mieszkanie 35m2 + ogród|385000.0|35.39|2|0.0||1|0|||||10878.78|0|1|0|starogardzka|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
3-pokojowe mieszkanie 65m2 + balkon|624000.0|65.03|3|2.0||1|0|||||9595.57|1|0|0|starogardzka|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
2 pokoje 10/11p ładny widok wolne od zaraz|439000.0|30.0|2|10.0|secondary|0|1|1970.0|1.0|Mieszkanie|1.0|14633.33|0|0|0||brodwino|sopot|54.444378|18.56768
Piękne umeblowane mieszkanie, blisko morza|699000.0|38.0|2|7.0|secondary|1|1|2021.0|0.0|Mieszkanie|0.0|18394.74|1|0|0|sucha 39b|letnica|gdansk|54.396438|18.644403
"Duży balkon | Gotowe w tym roku | Rabaty"|600287.0|60.57|4|3.0|primary|1|1||1.0|Mieszkanie|0.0|9910.63|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
