|title|district|latitude|longitude|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
55|Przestronne 3 pok. mieszkanie. Blisko do morza. Bezpośrednio|Gdynia Pogórze, Staniewicza|54.56127515|18.498233329279017|63|3|1985|1030|Mieszkanie|0|1|1|0|0|Parter|0|1|0|secondary
56|Przestronne 3 pok. mieszkanie. Blisko PKM. Bezpośrednio.|Gdynia Karwiny, Buraczana|54.47371105|18.504214729434647|60.01|3|1985|11648|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary
57|Namiastka domu, dwupoziomowe 5 pokoi osobne wejście/ garaż|Gdańsk Łostowice, Niepołomicka|54.31742615|18.593106398457195|108|5|2021|11944|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
58|Unikalny apartament blisko morza w Sopocie|Sopot Dolny Sopot, Łokietka 19|54.4338529|18.5713418|14|6|2015|22887|Mieszkanie|1|1|1|1|1|2|1|1|0|secondary
59|2 p o z i o m o w e + D U Ż E Klimatyzowe M!|Gdańsk Morena, Myśliwska|54.3457315|18.583013955487807|131|5|2008|8015|Mieszkanie|1|1|0|1|0|5|0|1|0|secondary
60|Apartament inwestycyjny nad morzem 2-pok Awiator|Gdańsk Zaspa|54.3564345|18.6441946|48|2|2015|19271|Mieszkanie|0|0|0|0|0|5|0|0|0|secondary
61|Gdańsk ul. Storczykowa - garaż w cenie!|Gdańsk Karczemki, Storczykowa 18|54.3551274|18.5082103|50|3|2004|9980|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
62|Jedyne takie mieszkanie w Gdyni|Gdynia Śródmieście, Żwirki i Wigury 2a|54.515067|18.5379655|48.28|2|1967|16000|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
63|Wykończony, po generalnym remoncie, obok lasu|Gdynia Dąbrowa, Koperkowa|54.47561965|18.463780058801177|357.7|5|1990|5563|Dom wolnostojący|0|0|0|0|0|nan|0|0|0|secondary
64|Słoneczna kawalerka na Przymorzu|Gdańsk Przymorze, Chłopska|54.4070557|18.59242040007326|30|1|1978|14333|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
65|Okazja! Piękne, wyremontowane mieszkanie blisko plaży|Gdańsk Żabianka, Wejhera 7|54.4215172|18.5832452|44|2|1966|16364|Mieszkanie|0|0|1|0|0|Parter|0|1|0|secondary
66|4-pokojowy apartament w pięknej kamienicy|Gdańsk Wrzeszcz, Kochanowskiego 75|54.3841033|18.6277728|75.16|4|1920|14090|Mieszkanie|0|0|0|0|0|Parter|0|1|0|secondary
67|Kominek   wys. 4,25 m   3 tarasy - unikat..|Gdańsk Kiełpinek, Taneczna|54.353581|18.658209|103|4|2007|15437|Mieszkanie|0|0|1|1|1|3|0|0|0|secondary
