title|price[PLN]|area[m^2]|rooms|floor|market|parking|elevator|build year|internet|building_type|basement|price_per_m2|balkon|ogródek|taras|street|district|city
"Kawalerka 35 m2 | oddzielna kuchnia | City Park |"|629000.0|35.0|1|6|secondary|0|1||0.0|Mieszkanie|0.0|17971.43|1|0|0|null|Zaspa-Rozstaje|Gdańsk
4-pokojowe mieszkanie 89m2 + taras Bez Prowizji|702500.0|89.18|4|1||0|0|||||7877.33|0|0|1|ul. Stokłosy|Kokoszki|Gdańsk
2 APARTAMENTY W JEDNYM, zacisznie i blisko morza|1189000.0|74.4|4|0|secondary|0|0||1.0|Mieszkanie|0.0|15981.18|0|0|0|ul. Małopolska|Kamienny Potok|Sopot
464 750 Netto 5min Wyspa Spichrzów +BONUS 26+27.04|571690.0|36.8|2|0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|15535.05|1|0|0|null|Śródmieście|Gdańsk
3-pokojowe mieszkanie 53m2 + loggia Bez Prowizji|1477704.0|53.5|3|> 10||1|0|||||27620.64|0|0|0|ul. Stefana Jaracza|Młyniska|Gdańsk
2-piętrowe w okazyjnej CENIE 15min od Gdańsk Gł|556700.0|69.55|4|3|primary|1|1|2024.0|1.0|Mieszkanie|0.0|8004.31|1|0|0|null|Ujeścisko-Łostowice|Gdańsk
PROMOCJA do końca tygodnia_nowa PKM_15min Gd Gł|511275.0|56.5|3|1|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9049.12|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
1-pokojowe mieszkanie 79m2 + ogródek Bezpośrednio|791783.0|79.29|1|0||1|0|||||9985.91|0|1|0|ul. Janki Bryla|Wiczlino|Gdynia
3pokoje.W.Otulinie.Parku.Gdynia.MałyKack.Taras|1407953.0|73.58|3|1|primary|1|0|2024.0|0.0||0.0|19135.0|1|0|0|ul. Wzgórze Bernadowo|Mały Kack|Gdynia
2-pokojowe mieszkanie 35m2 + ogród|385000.0|35.39|2|0||1|0|||||10878.78|0|1|0|ul. Starogardzka|Orunia Górna - Gdańsk Południe|Gdańsk
3-pokojowe mieszkanie 65m2 + balkon|624000.0|65.03|3|2||1|0|||||9595.57|1|0|0|ul. Starogardzka|Orunia Górna - Gdańsk Południe|Gdańsk
2 pokoje 10/11p ładny widok wolne od zaraz|439000.0|30.0|2|10|secondary|0|1|1970.0|1.0|Mieszkanie|1.0|14633.33|0|0|0|null|Brodwino|Sopot
Piękne umeblowane mieszkanie, blisko morza|699000.0|38.0|2|7|secondary|1|1|2021.0|0.0|Mieszkanie|0.0|18394.74|1|0|0|ul. Sucha 39b|Letnica|Gdańsk
Gdańsk Żurawie najwyższe piętro Widok zachwycający|3500000.0|90.0|3|> 10|secondary|1|1||1.0|Mieszkanie|0.0|38888.89|1|0|0|ul. Stefana Jaracza|Młyniska|Gdańsk
"Duży balkon | Gotowe w tym roku | Rabaty"|600287.0|60.57|4|3|primary|1|1||1.0|Mieszkanie|0.0|9910.63|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
Oaza w Mieście-Przestronne Mieszkanie z Ogrodem|1049000.0|78.8|3|0|secondary|1|0|1932.0|0.0|Mieszkanie|0.0|13312.18|0|1|0|ul. Leona Wyczółkowskiego|Siedlce|Gdańsk
