|title|district|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
113|Spectrum 3 pokoje! Gdańsk Przymorze!|Gdańsk Przymorze, Obrońców Wybrzeża|62.51|3|2018|28779|Mieszkanie|0|1|1|1|1|1|0|0|0|secondary
114|Trzy pokoje, Gdańsk Wrzeszcz ul. Mickiewicza|Gdańsk Wrzeszcz, Adama Mickiewicza|59.1|3|1953|12183|Mieszkanie|0|0|1|0|0|2|0|1|0|secondary
115|Dom - Wrzeszcz/Morena|Gdańsk Wrzeszcz, Migowska|167|5|1985|10778|Dom wolnostojący|1|1|0|1|0|nan|0|1|1|secondary
116|Kawalerka   Parter   Ogródek   Do negocjacji|Sopot Brodwino, Oskara Kolberga|30|1|1978|14967|Mieszkanie|0|0|1|1|1|Parter|0|1|0|secondary
117|Jasne, przestronne, po remoncie Sopot Wyścigi - bez pośrednika !|Sopot Wyścigi / Karlikowo, al. Niepodległości 653|60.53|2|1942|13646|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
118|Gdańsk, ul. Nieborowska, Mieszkanie 87,06m2|Gdańsk Chełm, Nieborowska 34|87.06|4|2008|10671|Mieszkanie|0|1|1|0|0|3|0|0|0|secondary
119|Sopot 2-pokojowe sprzedam|Sopot, Niepodległości 708|36|2|1975|18194|Mieszkanie|0|0|0|0|0|5|0|0|0|secondary
120|Mieszkanie - Gdańsk Jasień|Gdańsk Jasień|75.93|4|1993|8561|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary
121|Mieszkanie - Gdańsk Jasień|Gdańsk Jasień|43.5|2|2013|12644|Mieszkanie|1|1|1|1|1|4|0|1|0|secondary
122|Apartament nad Motławą|Gdańsk Stare Przedmieście, Jaglana|47|2|2017|24255|Mieszkanie|0|0|0|1|1|4|0|0|0|secondary
