title|district|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market|street|city|overall_price
Sprzedam bezpośrednio. 3 pok. Generalny remont.|Obłuże|47.0|3|1980|11681.0|Mieszkanie|0|0|1|0|0|0|0|1|0|secondary| Podgórska|gdynia|549007.0
Sprzedam bezpośrednio. 2 pok. Generalny remont. Blisko SKM.|Chylonia|37.0|2|1975|12676.0|Mieszkanie|0|0|1|0|1|0|0|1|0|secondary| Chylońska|gdynia|469012.0
Sprzedam bezpośrednio. 3 pok. Generalny remont. Piękny widok. Las.|Obłuże|47.0|3|1975|11681.0|Mieszkanie|0|1|1|0|1|10|0|1|0|secondary| Podgórska 7|gdynia|549007.0
Przestronne 3 pok. mieszkanie. Blisko do morza. Bezpośrednio|Pogórze|63.0|3|1985|1030.0|Mieszkanie|0|1|1|0|0|0|0|1|0|secondary| Staniewicza|gdynia|64890.0
Przestronne 3 pok. mieszkanie. Blisko PKM. Bezpośrednio.|Karwiny|60.01|3|1985|11648.0|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary| Buraczana|gdynia|698996.48
Przestronne mieszkanie z miejscem parkingowym i komórką lokatorską|Morena|45.75|3|2010|13093.0|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary| Myśliwskie Wzgórze|gdansk|599004.75
Jasne 4 pokoje dla rodziny kochającej naturę|Zakoniczyn|71.89|4|2006|10711.0|Mieszkanie|1|1|0|1|0|0|0|0|0|secondary| Konstantego Bergiela|gdansk|770013.79
Wysoki standard   Piękny widok   Kameralne osiedle|Morena|96.0|4|2018|15625.0|Mieszkanie|0|1|0|1|1|3|0|1|0|secondary| Morenowe Wzgórze|gdansk|1500000.0
Dwupokojowe mieszkanie /Jasień / Świetny dojazd|Jasień|35.25|2|2020|15291.0|Mieszkanie|0|1|1|0|1|4|0|0|0|secondary| Eugeniusza Węgrzyna|gdansk|539007.75
3 pokoje na Chełmie po remoncie   1 piętro|Chełm|63.4|3|1990|11830.0|Mieszkanie|0|1|1|0|0|1|0|1|0|secondary| Prof. Romualda Cebertowicza|gdansk|750022.0
Dom wolnostojący - Gdynia Kamienna Góra|Kamienna Góra|306.0|7|1950|17974.0|Dom wolnostojący|1|0|1|1|0||1|1|0|secondary| Korzeniowskiego|gdynia|5500044.0
D U Ż E - Klimatyzowe i 2 p o z i o m o w e|Morena|131.0|4|2009|9153.0|Mieszkanie|0|1|0|1|0|5|0|1|0|secondary| Morenowe Wzgórze|gdansk|1199043.0
Dwupokojowy apartament na osiedlu Garnizon|Strzyża|48.3|2|2016|2288.0|Mieszkanie|0|1|1|0|1|3|0|0|0|secondary| Norwida Cypriana Kamila 19|gdansk|110510.4
Przestronne 2 pok. blisko natury   Budynek z 2006r|Zakoniczyn|51.9|2|2006|11460.0|Mieszkanie|0|1|0|0|0|3|0|0|0|secondary| Konstantego Bergiela|gdansk|594774.0
Ekskluzywny Apartament 3-pokoje, blisko plaży|Letnica|67.5|3|2023|16993.0|Mieszkanie|0|0|0|0|0|6|0|0|0|secondary| Starowiejska|gdansk|1147027.5
Słoneczne, bardzo wysoki standard -Zielony Południk|Maćkowy|55.73|2|2020|14175.0|Mieszkanie|0|1|1|1|1|4|0|0|0|secondary| Kazimierza Wielkiego|gdansk|789972.75
Portova - pięciopokojowy apartament z tarasem|Śródmieście|117.3|5|2020|26850.0|Mieszkanie|1|0|1|1|1|6|1|1|0|secondary| Węglowa|gdynia|3149505.0
Super Węzeł Komunikacyjny|Leszczynki|65.6|4|1980|11433.0|Mieszkanie|0|1|1|1|1|8|0|1|0|secondary| Orlicz-Dreszera 28/II|gdynia|750004.7999999999
