title|address|price[PLN]|area[m^2]|rooms|floor|market|build year|parking|building_type
Apartament, ul. Siennicka|Siennicka, Śródmieście, Gdańsk, pomorskie|433 333 zł|37,21 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|przynależne na ulicy|apartamentowiec
Apartament, ul. Powstańców Warszawskich|Powstańców Warszawskich, Gdańsk, pomorskie|1 250 000 zł|70 m²|3|2|wtórny|2024|w garażu podziemnym|apartamentowiec; rok budowy: 2024
Mieszkanie, ul. Powstańców Warszawskich|Powstańców Warszawskich, Suchanino, Gdańsk, pomorskie|749 000 zł|64 m²|4|4|wtórny|1975|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1975
Mieszkanie, ul. Ogarna|Ogarna, Stare Miasto, Gdańsk, pomorskie|1 060 000 zł|52 m²|2|1|wtórny|1950|parking publiczny / na ulicy|kamienica; rok budowy: 1950
Mieszkanie, Aleja Jana Pawła II|Aleja Jana Pawła II, Zaspa-Rozstaje, Gdańsk, pomorskie|1 259 000 zł|73,90 m²|4|2|wtórny|1993|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1993
Mieszkanie, ul. Dmowskiego|Dmowskiego, Wrzeszcz Górny, Gdańsk, pomorskie|1 100 000 zł|84 m²|4|3|wtórny|1960|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1960
Mieszkanie, ul. Ofiar Grudnia '70|Ofiar Grudnia '70, Cztery Pory Roku, Gdańsk, pomorskie|559 911 zł|61,65 m²|3|1|wtórny|2023|parking publiczny / na ulicy|rok budowy: 2023 (blok w nowym budownictwie)
Mieszkanie, ul. Flisykowskiego|Flisykowskiego, Jasień, Gdańsk, pomorskie|799 000 zł|57,27 m²|3|4|wtórny|2019|przynależne na ulicy|rok budowy: 2019 (blok w nowym budownictwie)
Mieszkanie Gdańsk|Karczemki Kiełpińskie, Gdańsk, pomorskie|799 000 zł|85 m²|4|1|wtórny|2016|możliwość wykupienia|blok mieszkalny; rok budowy: 2016
Apartament Gdańsk|Śródmieście, Gdańsk, pomorskie|1 750 000 zł|70 m²|3|7|wtórny|2012|przynależne na ulicy|apartamentowiec; rok budowy: 2012 (blok w nowym budownictwie)
Apartament Gdańsk|Jasień, Gdańsk, pomorskie|564 962 zł|41,19 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|-|apartamentowiec; rok budowy: 2025
Mieszkanie Gdańsk|Jasień, Gdańsk, pomorskie|580 270 zł|43,08 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|parking publiczny / na ulicy|
Mieszkanie Gdańsk|Orunia Górna, Gdańsk, pomorskie|697 719 zł|68,12 m²|4|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|tak|blok mieszkalny; rok budowy: 2024
Mieszkanie, ul. Kochanowskiego|Kochanowskiego, Wrzeszcz, Gdańsk, pomorskie|850 000 zł|38,72 m²|2|3|wtórny|2019|w garażu podziemnym|blok mieszkalny; rok budowy: 2019
Mieszkanie, ul. Tamka|Tamka, Stogi, Gdańsk, pomorskie|420 000 zł|37 m²|2|4|wtórny|-|parking publiczny / na ulicy|blok mieszkalny
Mieszkanie, ul. Chrzanowskiego|Chrzanowskiego, Wrzeszcz, Gdańsk, pomorskie|849 000 zł|63,13 m²|3|2|wtórny|-|garaż wolnostojący|blok mieszkalny
Mieszkanie|Deotymy, Wrzeszcz, Gdańsk, pomorskie|590 000 zł|33 m²|2|parter|wtórny|1920|parking publiczny / na ulicy|dom wielorodzinny; rok budowy: 1920
Mieszkanie, ul. Hokejowa|Hokejowa, Łostowice, Gdańsk, pomorskie|460 000 zł|40,82 m²|2|1|wtórny|2014|tak|blok mieszkalny; rok budowy: 2014
Mieszkanie, ul. Bergiela|Bergiela, Ujeścisko, Gdańsk, pomorskie|549 000 zł|46,02 m²|2|2|wtórny|2005|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 2005
