title|address|price[PLN]|area[m^2]|rooms|floor|market|addition|parking|elevator|build year|internet|buiiding_type|basement
Neo Jasień - C27|ul. Potęgowska, Jasień, Gdańsk, pomorskie|441000.0|33.0|2|4|pierwotny|balkon||nie|2022|0.0||0.0
Nowa oferta mieszkań - Meva - Gdynia Grabówek M23|ul. Gerarda Denhoffa 2, Grabówek, Gdynia, pomorskie|846000.0|64.61|4|3|pierwotny||garaż/miejsce parkingowe|nie|2024|1.0||0.0
"Ogrody Diany |Hery 7/25"|ul. Diany, Osowa, Gdańsk, pomorskie|635000.0|59.83|3|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2025|1.0||0.0
Apartament z ogródkiem blisko morza!!!|ul. Kwiatowa, Wyspa Sobieszewska, Gdańsk, pomorskie|599000.0|31.52|1|parter|wtórny|ogródek|garaż/miejsce parkingowe|nie|2022|0.0||0.0
Słoneczne 2 pokoje z dużym balkonem|ul. Kazimierza Wielkiego, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|539000.0|39.05|2|2|wtórny|||nie|2018|0.0||0.0
32 m2, 2 pokoje|ul. Józefa Wąsika, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|440000.0|32.65|2|4|wtórny|balkon|garaż/miejsce parkingowe|nie|2023|0.0||0.0
Dwa pokoje na parterze z balkonem we Wrzeszczu|ul. Partyzantów, Wrzeszcz Górny, Gdańsk, pomorskie|629000.0|51.0|2|parter|wtórny|balkon||nie|1970|0.0|blok|1.0
Nowe dwa pokoje z ogrodkiem i halą przy tramwaju|ul. Czereśniowa, Ujeścisko-Łostowice, Gdańsk, pomorskie|609000.0|42.0|2|parter|pierwotny|ogródek|garaż/miejsce parkingowe|tak|2023|1.0|blok|0.0
4-pokojowe mieszkanie z pięknym widokiem|ul. Lęborska, Przymorze Małe, Gdańsk, pomorskie|760000.0|69.73|4|> 10|wtórny|balkon||tak|1980|1.0|blok|1.0
Garnizon|Leśmiana GARNIZON, Wrzeszcz Górny, Gdańsk, pomorskie|2150000.0|101.5|4|6|wtórny|balkon||tak|2020|1.0|apartamentowiec|0.0
41,36 m2 gdańsk gotowe do odbioru ekspo. zachodnia|Ujeścisko-Łostowice, Gdańsk, pomorskie|478669.0|42.28|2|parter|pierwotny|ogródek|garaż/miejsce parkingowe|tak|2023|0.0|apartamentowiec|0.0
35,90 m2 Gdańsk Łostowice - mieszkanie gotowe|Ujeścisko-Łostowice, Gdańsk, pomorskie|532000.0|35.9|2|parter|wtórny|ogródek|garaż/miejsce parkingowe|tak|2024|0.0|apartamentowiec|0.0
Nowy, kompleksowo urządzony apartament.|Żołnierzy Dywizji Kościuszkowskiej, Wzgórze Św. Maksymiliana, Gdynia, pomorskie|839000.0|45.67|2|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2023|1.0|apartamentowiec|1.0
garnizon 50,60 m2 - najlepsza lokalizacja Wrzeszcz|Wrzeszcz Górny, Gdańsk, pomorskie|933469.0|50.6|2|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2025|0.0|apartamentowiec|0.0
45,17 m2 - gdańsk suchanino - gotowe do odbioru|Śródmieście, Gdańsk, pomorskie|894366.0|45.17|2|parter|pierwotny|ogródek|garaż/miejsce parkingowe|tak|2023|0.0|apartamentowiec|0.0
69,59 m2 na granicy moreny i jasienia loggia 11 m2|Jasień, Gdańsk, pomorskie|680000.0|69.59|4|1|pierwotny||garaż/miejsce parkingowe|tak|2025|0.0|apartamentowiec|0.0
53,86 m2 gdańsk jasień/morena 10359 zł/m2|Jasień, Gdańsk, pomorskie|560000.0|53.86|3|2|pierwotny||garaż/miejsce parkingowe|tak|2025|0.0|apartamentowiec|0.0
Apartament z widokiem na panoramę Gdańska!|ul. Partyzantów, Wrzeszcz Górny, Gdańsk, pomorskie|2149000.0|133.18|3|> 10|wtórny|balkon, taras|garaż/miejsce parkingowe|tak|2015|0.0|blok|0.0
Inwestycja w samym sercu Dolnego Sopotu!|ul. Grunwaldzka, Dolny Sopot - Grunwaldzka, Dolny Sopot, Sopot, pomorskie|1169000.0|59.8|2|3|wtórny||garaż/miejsce parkingowe|nie|1905|0.0|kamienica|1.0
Strzeżone rodzinne osiedle - wykończone mieszkanie|ul. Władysława Kańskiego, Wiczlino, Gdynia, pomorskie|915000.0|71.0|3|2|wtórny|balkon|garaż/miejsce parkingowe|nie|2012|0.0||0.0
2 pokoje/duży balkon/miejsce postojowe/Wielki Kack|Wielki Kack, Gdynia, pomorskie|668000.0|62.72|2|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2012|1.0|blok|0.0
Gdańsk Śródmieście mieszkanie 2 poziomy|ul. Jana Heweliusza, Śródmieście, Gdańsk, pomorskie|998000.0|42.3|2|4|wtórny|balkon||nie|1960|1.0|blok|1.0
Wysoki standard! Modern classic! Widok na Zatokę!|ul. Karpacka, Oliwa, Gdańsk, pomorskie|799000.0|52.0|3|7|wtórny|balkon||tak|1980|0.0|blok|1.0
10 piętro z widokiem na morze w pasie nadmorskim!|ul. Piastowska, Przymorze Wielkie, Gdańsk, pomorskie|599000.0|38.0|2|10|wtórny|balkon||tak|1970|0.0|blok|1.0
idealna pod inwestycje - po remoncie|Przymorze Wielkie, Gdańsk, pomorskie|389000.0|20.0|1|2|wtórny|balkon||nie|1965|1.0|blok|1.0
Mieszkania w Gdańsku przy Morzu Prowizja 0%|Letnica, Gdańsk, pomorskie|655100.0|43.67|2|2|pierwotny|||tak|2024|0.0|blok|0.0
2 kawalerki z sypialniami, gotowe do najmu|Chylonia, Gdynia, pomorskie|974490.0|59.0|4|1|wtórny|||nie|2023|0.0|apartamentowiec|0.0
z salonem i tarasem od południa - Cichy Zakątek|ul. Kartuska, Jasień, Gdańsk, pomorskie|499900.0|44.65|3|1|pierwotny|taras||tak|2024|1.0|blok|0.0
Mieszkanie - Gdynia Fikakowo|ul. Górnicza, Wielki Kack, Gdynia, pomorskie|690000.0|71.9|3|parter|wtórny|||nie|1994|1.0|blok|0.0
Mieszkanie z przepiękną antresolą blisko natury|ul. Osiedlowa, Kokoszki, Gdańsk, pomorskie|702500.0|88.0|4|1|pierwotny|balkon||nie|2024|0.0||0.0
"4 pok . | ładny widok | balkon | zieleń | Chełm"|ul. Reformacka, Chełm, Gdańsk, pomorskie|869000.0|76.4|4|3|wtórny|balkon||nie||0.0|blok|0.0
Mieszkanie - Gdańsk Łostowice|ul. Andrzeja Grubby, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|649000.0|63.94|3|3|wtórny|balkon||nie|2015|0.0|blok|0.0
Klimatyczne mieszkanie z ogródkiem- dwupoziomowe|Strzyża, Gdańsk, pomorskie|1100000.0|72.0|3|1|wtórny|ogródek|garaż/miejsce parkingowe|nie||1.0|kamienica|1.0
Dobra inwestycja 450m do Parku Reagana niefalowiec|ul. Kołobrzeska, Przymorze Wielkie, Gdańsk, pomorskie|565000.0|32.0|2|4|wtórny||garaż/miejsce parkingowe|tak|1980|0.0|blok|1.0
Dwa pokoje blisko plaży cena tylko do10.04 Okazja|ul. Tysiąclecia, Tysiąclecia, Gdańsk, pomorskie|519000.0|39.21|2|3|wtórny|||nie||1.0|blok|1.0
"4 p. | przy Motławie! | Dla Konesera lub Inwestora"|ul. Sukiennicza, Śródmieście, Gdańsk, pomorskie|1310000.0|87.7|4|2|wtórny|||nie|1900|1.0|kamienica|1.0
"Dwupoziomowe | 2 pokoje | blisko tramwaj"|Ujeścisko-Łostowice, Gdańsk, pomorskie|539000.0|45.0|2|3|wtórny|balkon||nie|2001|1.0|blok|1.0
Inwestycja Porto - Gdańsk Brzeźno!|Bernarda Filarskiego, Letnica, Gdańsk, pomorskie|679000.0|42.8|2|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2023|0.0|apartamentowiec|0.0
Seaport live in Gdynia Twoje nowe mieszkanie|ul. Hugo Kołłątaja, Grabówek, Gdynia, pomorskie|1519000.0|102.0|5|parter|pierwotny|balkon|garaż/miejsce parkingowe|tak|2023|1.0|apartamentowiec|0.0
Mieszkanie w modernistycznej kamienicy|ul. Morska, Grabówek, Gdynia, pomorskie|439000.0|50.0|2|3|wtórny|||nie|1936|1.0|kamienica|1.0
2 pok. pod samym lasem, dobra komunikacja|Kameralna, Mały Kack, Gdynia, pomorskie|599000.0|34.0|2|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2017|0.0||0.0
4-pokojowy apartament 81m2 + 3 tarasy Bezpośrednio|ul. Kardynała Wyszyńskiego, Śródmieście, Gdynia, pomorskie|1757908.0|81.27|4|5||taras|garaż/miejsce parkingowe|||||
Inwestycyjne mieszkanie w Sopocie 200m od plaży|ul. Bitwy pod Płowcami, Karlikowo, Sopot, pomorskie|780000.0|29.59|2|1|wtórny||garaż/miejsce parkingowe|nie|1904|0.0|kamienica|1.0
Ustawne, duże, 2 pokojowe na sprzedaż - Sopot Kami|ul. Kujawska, Kamienny Potok, Sopot, pomorskie|780000.0|49.0|2|parter|wtórny|ogródek||nie|1983|0.0|blok|1.0
Luksusowy apartament Gdańsk Neptun Park przy plaży|ul. Wypoczynkowa 26, Jelitkowo, Gdańsk, pomorskie|1999000.0|51.72|2|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2017|1.0|apartamentowiec|0.0
Wyjątkowe mieszkanie z widokiem na morze|ul. Parkowa 44, Dolny Sopot - Grunwaldzka, Dolny Sopot, Sopot, pomorskie|2650000.0|71.0|3|2|wtórny|balkon||nie||1.0|kamienica|1.0
Apartament , Centrum Gdyni , przy marinie i plaży.|Śródmieście, Gdynia, pomorskie|1447000.0|49.0|2|5|wtórny|balkon|garaż/miejsce parkingowe|tak|2023|1.0|apartamentowiec|1.0
Kawalerka-Gdańsk ul. Podmiejska|ul. Podmiejska, Orunia-Św. Wojciech-Lipce, Gdańsk, pomorskie|319000.0|37.99|1|parter|wtórny||garaż/miejsce parkingowe|nie|1900|0.0|kamienica|0.0
Mieszkanie z ogromnym potencjałem na Zaspie|ul. Dywizjonu 303 303, Zaspa-Młyniec, Gdańsk, pomorskie|647000.0|48.9|2|6|wtórny|balkon|garaż/miejsce parkingowe|tak||1.0|blok|1.0
Nowe Osiedle, Komfortowe Mieszkanie, Morena|Jasień, Gdańsk, pomorskie|865878.0|77.12|4|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2025|0.0|blok|0.0
Gotowe Mieszkanie z 2 Balkonami|Suchanino, Gdańsk, pomorskie|894366.0|45.17|2|1|pierwotny|balkon|garaż/miejsce parkingowe|nie|2023|0.0|blok|0.0
Komfortowe Mieszkanie z Balkonem, Wysoki Standard|Dąbrowa, Gdynia, pomorskie|895662.0|82.45|4|5|pierwotny|balkon|garaż/miejsce parkingowe|tak|2025|0.0|kamienica|0.0
Quercus - B2.32|ul. Wielkopolska, Ujeścisko-Łostowice, Gdańsk, pomorskie|398610.0|32.0|1|3|pierwotny|||tak|2025|0.0||0.0
Rodzinne 3-pokojowe mieszkanie|ul. Jaśminowy Stok, Kokoszki, Gdańsk, pomorskie|619000.0|65.8|3|2|wtórny|balkon|garaż/miejsce parkingowe|nie|2008|1.0|blok|0.0
Dwupokojowe mieszkanie z garderobą - Deweloperskie|ul. Tadeusza Jasińskiego, Jasień, Gdańsk, pomorskie|539000.0|46.44|2|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2024|0.0|blok|1.0
Mieszkanie - Gdańsk Morena|ul. Królewskie Wzgórze, Piecki-Migowo, Gdańsk, pomorskie|915000.0|69.36|3|1|wtórny|balkon|garaż/miejsce parkingowe|nie|2008|0.0|blok|0.0
Mieszkanie w Sopocie blisko plaży|Dolny Sopot - Haffnera, Dolny Sopot, Sopot, pomorskie|1629000.0|64.15|3|3|wtórny||garaż/miejsce parkingowe|nie|1920|0.0|kamienica|1.0
Mieszkanie na Nadmotławiu|Śródmieście, Gdańsk, pomorskie|1944000.0|66.0|3|1|wtórny|taras|garaż/miejsce parkingowe|nie|2019|0.0||0.0
Apartament w Nadmotławiu|ul. Sienna Grobla, Śródmieście, Gdańsk, pomorskie|1000000.0|100.0|3|1|wtórny||garaż/miejsce parkingowe|nie|2020|0.0||0.0
Atrakcyjne mieszkanie 3-pokojowe Fort Forest|ul. Czesława Niemena, Wiczlino, Gdynia, pomorskie|832000.0|64.47|3|2|wtórny|||tak||0.0||0.0
Słoneczne, przestronne mieszkanie po gen. remoncie|ul. Podgórska, Obłuże, Gdynia, pomorskie|650000.0|52.7|3|4|wtórny|balkon||nie|1970|1.0|blok|1.0
Mieszkanie 2-pokojowe po generalnym remoncie|ul. Janowska, Cisowa, Gdynia, pomorskie|499000.0|36.3|2|1|wtórny|||nie|1955|0.0||0.0
3-pokojowe mieszkanie 37m2 + ogródek|ul. Lubowidzka, Jasień, Gdańsk, pomorskie|455000.0|37.13|3|parter||ogródek|garaż/miejsce parkingowe|||||
2-pokojowe mieszkanie 31m2 + ogródek Bez Prowizji|ul. Lubowidzka, Jasień, Gdańsk, pomorskie|405000.0|31.08|2|parter||ogródek|garaż/miejsce parkingowe|||||
"Oliwa | 4 Pokoje | Widok na morze | 5 min do Awf"|ul. Karpacka, Oliwa, Gdańsk, pomorskie|749000.0|60.9|4|4|wtórny|balkon||tak|1980|1.0|blok|1.0
GDYNIA WIELKI KACK Apartament dwupoziomowy 159m2|ul. Malarska, Wielki Kack, Gdynia, pomorskie|1574595.0|159.05|5|1|pierwotny|balkon|garaż/miejsce parkingowe|nie|2022|1.0|kamienica|0.0
Nowa Inwestycja, Mieszkanie z Balkonem|Jasień, Gdańsk, pomorskie|1100756.0|86.48|4|4|pierwotny|balkon|garaż/miejsce parkingowe|tak|2025|0.0|blok|0.0
Apartament z Balkonem, Prywatna Przystań Jachtowa|Śródmieście, Gdańsk, pomorskie|1116840.0|31.83|2|2|pierwotny||garaż/miejsce parkingowe|tak|2023|0.0|apartamentowiec|0.0
YOGA - mieszkanie wykończone pod klucz z balkonem!|ul. Stanisława Dąbka, Ujeścisko-Łostowice, Gdańsk, pomorskie|675000.0|61.44|3|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|0.0|blok|0.0
3 pokoje z balkonem|ul. Władysława Czermińskiego, Jasień, Gdańsk, pomorskie|549000.0|50.27|3|2|wtórny|balkon||nie|2008|1.0|blok|0.0
Mieszkanie 3-pokojowe nowe wykończone|ul. Powstańców Warszawskich, Suchanino, Gdańsk, pomorskie|1699000.0|67.66|3|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2022|1.0|blok|1.0
Long Causeway. Apartament Gdańsk Długie Ogrody|ul. Długa Grobla, Śródmieście, Gdańsk, pomorskie|2800000.0|310.0|więcej niż 10||pierwotny|||tak|2024|0.0|apartamentowiec|0.0
SONO: mieszkanie 4-pokojowe z dużym ogrodem!|ul. Antygony, Osowa, Gdańsk, pomorskie|829000.0|69.69|4|parter|pierwotny|ogródek|garaż/miejsce parkingowe|tak|2024|0.0|blok|0.0
wykończone mieszkanie z tarasem, Ogrody Tesoro|Pogórze, Gdynia, pomorskie|750000.0|55.0|3|1|wtórny|balkon, ogródek, taras|garaż/miejsce parkingowe|nie|2019|1.0||0.0
Mieszkanie z Antresolą, Gdańsk Siedlce|Siedlce, Gdańsk, pomorskie|1222199.0|68.56|2|2|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|0.0|apartamentowiec|0.0
Inwestycja z Tarasem, Gdynia Morska Park|Chylonia, Gdynia, pomorskie|1539502.0|105.59|4|10|pierwotny|balkon, taras|garaż/miejsce parkingowe|tak|2026|0.0|apartamentowiec|0.0
2-pokojowe mieszkanie 47m2 + balkon Bezpośrednio|ul. Mariana Hemara, Wrzeszcz Górny, Gdańsk, pomorskie|869540.0|47.15|2|3||balkon|garaż/miejsce parkingowe|||||
Apartament Najwyższy Standard, Osiedle Premium|Oliwa, Gdańsk, pomorskie|1626170.0|80.19|3|parter|pierwotny|taras|garaż/miejsce parkingowe|tak|2023|0.0|apartamentowiec|0.0
Apartament w kamienicy 117m2 w górnym Sopocie|ul. gen. Władysława Andersa, Górny Sopot, Sopot, pomorskie|2600000.0|117.0|4|1|wtórny|||nie|1910|0.0|kamienica|1.0
2 mieszkania w centrum Sopotu!|al. Niepodległości, Lisie Wzgórze, Górny Sopot, Sopot, pomorskie|1100000.0|84.0|4|3|wtórny|balkon||nie|1960|0.0|blok|0.0
Mieszkanie 4 pokojowe na Świętojańskiej|ul. Świętojańska, Śródmieście, Gdynia, pomorskie|1650000.0|85.1|4|1|wtórny||garaż/miejsce parkingowe|tak|1930|0.0|kamienica|1.0
Piękne, klimatyczne mieszkanie w kamienicy|ul. Fryderyka Chopina, Centrum Południe, Dolny Sopot, Sopot, pomorskie|1895000.0|81.0|2|1|wtórny||garaż/miejsce parkingowe|nie|1920|1.0|kamienica|1.0
Zamieszkaj w cichej części Sopotu|ul. Króla Jana Kazimierza, Karlikowo, Sopot, pomorskie|1450000.0|67.21|3|1|wtórny|balkon|garaż/miejsce parkingowe|nie|2000|1.0|apartamentowiec|1.0
Dwa pokoje na sprzedaż Morena osiedle Alfa Park II|ul. Myśliwska, Jasień, Gdańsk, pomorskie|699000.0|50.37|2|1|wtórny||garaż/miejsce parkingowe|tak|2014|1.0|blok|0.0
4 pokoje, idealna lokalizacja, nowe budownictwo|ul. Hetmańska, Wzgórze Św. Maksymiliana, Gdynia, pomorskie|1850000.0|103.41|4|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2008|0.0|dom wolnostojący|1.0
Gdańsk Wrzeszcz 9 pokoi!|ul. Jaśkowa Dolina, Wrzeszcz Górny, Gdańsk, pomorskie|3350000.0|250.39|9|2|wtórny|||nie|1912|0.0|kamienica|0.0
Mieszkanie 4 pokoje Gdynia Obłuże|Obłuże, Gdynia, pomorskie|660000.0|67.0|4|2|wtórny|balkon|garaż/miejsce parkingowe|nie|1980|1.0|blok|1.0
Unikatowy apartament! Gdańsk Wrzeszcz!|ul. Mariana Smoluchowskiego, Aniołki, Gdańsk, pomorskie|1950000.0|243.0|5|3|wtórny|balkon|garaż/miejsce parkingowe|tak|2003|1.0|apartamentowiec|0.0
4 pokoje, 2 balkony, piwnica i miejsce w hali!|ul. Leszczynowa, Jasień, Gdańsk, pomorskie|946000.0|85.7|4|4|wtórny|balkon|garaż/miejsce parkingowe|tak|2013|1.0|blok|0.0
3 pokoje/Parter/Inpro/Morena|ul. Piekarnicza, Piecki-Migowo, Gdańsk, pomorskie|800000.0|65.5|3|parter|wtórny|balkon|garaż/miejsce parkingowe|nie|2006|0.0|blok|0.0
Wykończone 3 pokojowe mieszkanie wolne od zaraz!|ul. Potęgowska, Jasień, Gdańsk, pomorskie|699000.0|60.76|3|parter|wtórny|ogródek|garaż/miejsce parkingowe|tak|2023|0.0|blok|0.0
Wygodne 3 pokojowe mieszkanie z balkonem|ul. Przytulna, Jasień, Gdańsk, pomorskie|760000.0|49.38|3|3|wtórny|balkon|garaż/miejsce parkingowe|tak|2016|0.0|blok|0.0
Mieszkanie z całym wyposażeniem!|ul. Stężycka, Jasień, Gdańsk, pomorskie|699000.0|72.0|3|1|wtórny|balkon|garaż/miejsce parkingowe|nie|2019|0.0|blok|0.0
Gotowiec inwestycyjny! z najemcami, 5 pokoi|ul. Kołobrzeska, Przymorze Wielkie, Gdańsk, pomorskie|660000.0|54.0|5|parter|wtórny|||nie|1970|0.0|blok|1.0
Mieszkanie z widokiem na morze|Żabianka, Gdańsk, pomorskie|870000.0|60.0|3|4|wtórny|balkon|garaż/miejsce parkingowe|nie|1991|0.0|blok|0.0
Mieszkanie 3 pokojowe na gdańskim Przymorzu!|ul. Lęborska, Przymorze Małe, Gdańsk, pomorskie|1198000.0|59.41|3|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2008|1.0|blok|0.0
Przymorze - jasne mieszkanie 3 pokojowe!|ul. Lęborska, Przymorze Małe, Gdańsk, pomorskie|1320000.0|68.07|3|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2008|0.0|blok|0.0
3 pokoje z dużym balkonem|ul. Kazimierza Wielkiego, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|750000.0|54.47|3|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2020|0.0|blok|0.0
Dwupoziomowe, 4 pokojowe z 2 łazienkami|ul. Nieborowska, Chełm, Gdańsk, pomorskie|939000.0|87.53|4|3|wtórny|balkon|garaż/miejsce parkingowe|nie|2008|1.0|blok|0.0
2 pokoje Ciche,spokojne miejsce blisko obwodnicy|ul. Jaworzniaków, Ujeścisko-Łostowice, Gdańsk, pomorskie|637000.0|49.37|2|parter|wtórny|balkon|garaż/miejsce parkingowe|nie|2015|0.0|blok|0.0
3 Pokoje Z Balkonem Mieszkanie W Urokliwym Miejsc|ul. Jana Kielasa, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|759000.0|69.7|3|1|wtórny|balkon|garaż/miejsce parkingowe|nie|2009|0.0|blok|0.0
3 pokoje z balkonem, miejsce w hali i komórką lok.|ul. Powstańców Warszawskich, Siedlce, Gdańsk, pomorskie|1020000.0|62.66|3|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2023|1.0|blok|0.0
Nowoczesny Apartament z Tarasem 62 m2, Piętro 8/8|Wzgórze Św. Maksymiliana, Gdynia, pomorskie|3821804.0|153.37|4|8|pierwotny|balkon, taras|garaż/miejsce parkingowe|tak|2022|0.0|apartamentowiec|0.0
Mieszkanie - Gdynia Dąbrowa|ul. Słonecznikowa, Dąbrowa, Gdynia, pomorskie|645810.0|62.7|3|parter|wtórny||garaż/miejsce parkingowe|nie|2003|0.0|blok|1.0
Apartament blisko Motławy 2-pok , 1,6 KM do Neptun|Śródmieście, Gdańsk, pomorskie|560208.0|37.0|2|3|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|1.0
Apartament w kamienicy w Oliwie|ul. Artura Grottgera, Oliwa, Gdańsk, pomorskie|2100000.0|83.07|4|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2023|0.0|kamienica|0.0
1,6km do Neptuna, 334tys netto Idealne dla inwesto|Śródmieście, Gdańsk, pomorskie|411716.0|25.86|1|3|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|1.0
Blisko morza! Ścisłe centrum!|ul. św. Piotra, Śródmieście, Gdynia, pomorskie|1150000.0|43.93|2|8|wtórny|balkon|garaż/miejsce parkingowe|tak|2023|0.0|apartamentowiec|0.0
Górny Sopot/Balkon, Weranda/2 mieszkania na 1 kw|ul. Armii Krajowej, Górny Sopot, Sopot, pomorskie|1800000.0|108.9|7|1|wtórny|balkon||nie|1907|0.0|dom wolnostojący|0.0
3 pokoje świeżo wykończone na nowym osiedlu!|ul. Nowatorów, Kokoszki, Gdańsk, pomorskie|757000.0|69.0|3|parter|wtórny|ogródek|garaż/miejsce parkingowe|tak|2023|0.0|blok|0.0
"3 pokoje z garażem i balkonem | wolne od zaraz"|ul. Jaśminowy Stok, Kokoszki, Gdańsk, pomorskie|634000.0|65.8|3|2|wtórny|balkon|garaż/miejsce parkingowe|nie|2008|0.0|blok|1.0
Świetne 3-pokojowe mieszkanie / Karczemki|Kokoszki, Gdańsk, pomorskie|612000.0|53.8|3|parter|wtórny|balkon, ogródek||nie|2004|0.0|blok|0.0
"Kawalerka | Nowy Port | Ogród"|ul. Na Zaspę, Nowy Port, Gdańsk, pomorskie|299000.0|26.0|1|parter|wtórny|ogródek||nie||0.0|blok|0.0
"Wysoki standard | Miejsce w hali | Widok na zieleń"|ul. Niepołomicka, Ujeścisko-Łostowice, Gdańsk, pomorskie|708000.0|75.52|3|3|wtórny|balkon|garaż/miejsce parkingowe|nie|2017|1.0|blok|0.0
"Ogródek 100m | Narożne | Dostępne od zaraz"|ul. Jana Kielasa, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|699000.0|67.7|3|parter|wtórny|ogródek, taras||nie||1.0|blok|1.0
3 pokoje/ budynek z windą / zielona okolica!|ul. Niepołomicka, Ujeścisko-Łostowice, Gdańsk, pomorskie|630000.0|49.56|3|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2017|0.0|blok|0.0
Mieszkanie po remoncie w świetnej lokalizacji|ul. Trakt św. Wojciecha, Orunia-Św. Wojciech-Lipce, Gdańsk, pomorskie|560000.0|52.5|3|2|wtórny||garaż/miejsce parkingowe|nie|1920|0.0|kamienica|1.0
"Nowe | 2 pokoje | Ujeścisko"|ul. Cedrowa, Ujeścisko-Łostowice, Gdańsk, pomorskie|550000.0|34.6|2|1|wtórny|balkon|garaż/miejsce parkingowe|tak||0.0|blok|0.0
2 pokoje gotowe do zamieszkania/ kameralne osiedle|ul. Cedrowa, Ujeścisko-Łostowice, Gdańsk, pomorskie|599000.0|39.57|2|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2019|1.0|blok|1.0
2 komfortowe pokoje/ nowe budownictwo/ ogródek|ul. Szmaragdowa, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|540000.0|46.0|2|parter|wtórny|ogródek|garaż/miejsce parkingowe|tak|2013|0.0|blok|1.0
"Panorama na stare miasto | 4 pokoje"|ul. Powstańców Warszawskich, Suchanino, Gdańsk, pomorskie|750000.0|64.0|4|4|wtórny|balkon|garaż/miejsce parkingowe|nie|1978|0.0|blok|1.0
3Pok W 1/2 Bliźniaka! Ogród600M! 20Min Do Centrum|ul. Leona Wyczółkowskiego, Siedlce, Gdańsk, pomorskie|1099000.0|78.8|3|parter|wtórny|||nie|1932|0.0|dom wolnostojący|1.0
"3-pok | Siedlce | Spółdzielczo-własnościowe"|ul. Szara, Siedlce, Gdańsk, pomorskie|684900.0|55.4|3|5|wtórny|balkon||tak|1976|0.0|blok|1.0
3 pokojowe mieszkanie w wysokim standardzie|ul. Lawendowe Wzgórze, Jasień, Gdańsk, pomorskie|740000.0|56.0|3|4|wtórny|balkon|garaż/miejsce parkingowe|tak|2015|0.0|blok|1.0
"Parter | 2-pokoje | Gotowe do zamieszkania"|ul. Lawendowe Wzgórze, Jasień, Gdańsk, pomorskie|545000.0|37.22|2|parter|wtórny|ogródek|garaż/miejsce parkingowe|tak|2016|0.0|blok|1.0
4 pokoje/ładna kamienica/parter/Stare Miasto|ul. Mariana Seredyńskiego, Śródmieście, Gdańsk, pomorskie|1299000.0|104.0|4|parter|wtórny|||nie|1905|0.0|kamienica|0.0
Wyremontowane 2pok mieszkanie na Starym Mieście|ul. Kowalska, Śródmieście, Gdańsk, pomorskie|578000.0|31.2|2|1|wtórny|balkon|garaż/miejsce parkingowe|nie|1952|0.0|blok|1.0
4 pok. w centrum! Stare Miasto, idealna inwestycja|ul. Podwale Staromiejskie, Śródmieście, Gdańsk, pomorskie|895000.0|70.77|4|3|wtórny|balkon|garaż/miejsce parkingowe|nie|1963|1.0|kamienica|1.0
Rodzinne mieszkanie w otulinie lasu- Wielki Kack|ul. Zielona Laguna, Wielki Kack, Gdynia, pomorskie|1790000.0|150.0|5|parter|wtórny|balkon, ogródek, taras|garaż/miejsce parkingowe|nie|2018|1.0|blok|0.0
Atrakcyjny 2-pokojowy apartament / Śródmieście|ul. Sadowa, Śródmieście, Gdańsk, pomorskie|1100000.0|48.21|2|3|wtórny|balkon|garaż/miejsce parkingowe|tak|2018|0.0|blok|1.0
Słoneczne mieszkanie, 78m2, 2 piwnice, centrum|ul. Kotwiczników, Śródmieście, Gdańsk, pomorskie|1159000.0|77.9|4|3|wtórny|||nie|1900|1.0|kamienica|0.0
Nowoczesne 3-pok. mieszkanie / Doki Śródmieście|ks. Jerzego Popiełuszki, Młyniska, Gdańsk, pomorskie|1050000.0|53.0|3|2|wtórny|balkon||tak||0.0|apartamentowiec|0.0
