title|address|price[PLN]|area[m^2]|rooms|floor|market|addition|parking|elevator|build year|internet|buiiding_type|basement
Nietuzinkowe blisko morza na Wyspie Sobieszewskiej|ul. Turystyczna, Wyspa Sobieszewska, Gdańsk, pomorskie|1050000.0|43.13|2|parter|wtórny|ogródek, taras|garaż/miejsce parkingowe|nie|2021|0.0||0.0
OSTATNIE poniżej 500tys_15min od Gdańsk Główny|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|480500.0|50.8|3|parter|pierwotny|ogródek|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
M3 z GARDEROBĄ • 15 min do centrum •|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|525195.0|52.81|3|2|pierwotny|balkon|garaż/miejsce parkingowe|tak||1.0|blok|0.0
Mieszkanie blisko dworca Pkp i galerii handlowej|ul. Rajska, Śródmieście, Gdańsk, pomorskie|735000.0|56.7|3|2|wtórny|||nie|1956|1.0|blok|1.0
2 pokojowe mieszkanie dostępne od zaraz!|ul. Franciszka Sokoła, Wiczlino, Gdynia, pomorskie|515000.0|37.0|2|1|wtórny|balkon|garaż/miejsce parkingowe|nie|2022|0.0||0.0
Sprzedam mieszkanie 4-pokojowe|ul. prof. Józefa Więckowskiego, Chełm, Gdańsk, pomorskie|799000.0|71.7|4|1|wtórny|balkon||nie|1989|1.0|blok|1.0
OSTATNIE 2pok poniżej 400tys_RABATY do soboty_HALE|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|381350.0|37.1|2|parter|pierwotny|ogródek, taras|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
NAJTAŃSZE 2pok w GDAŃSKU_promocje do SOBOTY_garaże|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|355475.0|31.9|2|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
Nowa oferta mieszkań - Meva - Gdynia Grabówek M2|ul. Gerarda Denhoffa 2, Grabówek, Gdynia, pomorskie|735000.0|56.12|3|parter|pierwotny|ogródek|garaż/miejsce parkingowe|nie|2024|1.0||0.0
347 000 Netto 5min Wyspa Spichrzów+Dod BONUS 26-27|Śródmieście, Gdańsk, pomorskie|426845.0|27.68|1|parter|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|apartamentowiec|0.0
Gdańsk Żabianka/Oliwa! 2 duże pokoje 47,6 m2|Żabianka, Gdańsk, pomorskie|599000.0|47.6|2|1|wtórny|balkon|garaż/miejsce parkingowe|nie|1964|0.0|blok|1.0
Gotowe_Przy parku_Zobacz na żywo! Promo|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|504810.0|53.45|3|2|pierwotny|balkon|garaż/miejsce parkingowe|tak|2023|1.0|blok|0.0
Apartament przy Motławie - widok na wodę!!!|Śródmieście, Gdańsk, pomorskie|350590.0|26.36|1|3|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
3-pokojowy apartament 60m2 + balkon|ul. Kardynała Wyszyńskiego, Śródmieście, Gdynia, pomorskie|1296189.0|60.11|3|4||balkon|garaż/miejsce parkingowe|||||
3-pokojowy apartament 60m2 + balkon Bez Prowizji|ul. Kardynała Wyszyńskiego, Śródmieście, Gdynia, pomorskie|1326244.0|60.11|3|5||balkon|garaż/miejsce parkingowe|||||
4-pokojowy apartament 85m2 + balkon Bezpośrednio|ul. Kardynała Wyszyńskiego, Śródmieście, Gdynia, pomorskie|1668968.0|85.27|4|1||balkon|garaż/miejsce parkingowe|||||
absolutny Hit, najtańsze 2 pok w Gdańsku|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|355500.0|31.8|2|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2025|1.0|blok|0.0
Umeblowane 2 ppkoje po remoncie, Suchanino|ul. Ignacego Paderewskiego, Suchanino, Gdańsk, pomorskie|580000.0|42.42|2|10|wtórny|balkon||tak|1975|1.0|blok|1.0
"Taras przez całe mieszkanie | Rabaty | Zachodnie"|Siedlce, Gdańsk, pomorskie|763810.0|39.76|3|6|pierwotny|balkon|garaż/miejsce parkingowe|tak||1.0|apartamentowiec|0.0
Mieszkanie gotowe do wprowadzenia się!|Demptowo, Gdynia, pomorskie|540000.0|43.9|2|3|wtórny|balkon||nie|1970|0.0|blok|1.0
Nowe mieszkanie Scala w Centrum Gdańska|Śródmieście, Gdańsk, pomorskie|1430000.0|59.57|3|1|wtórny|balkon||tak|2023|0.0||0.0
Apartament w wysokim standardzie Garnizon|Wrzeszcz Górny, Gdańsk, pomorskie|1740000.0|77.22|3|4|wtórny|||tak|2021|0.0|apartamentowiec|0.0
"Kawalerka 35 m2 | oddzielna kuchnia | City Park |"|Zaspa-Rozstaje, Gdańsk, pomorskie|629000.0|35.0|1|6|wtórny|balkon||tak||0.0|blok|0.0
