title|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
Wyjątkowe!Z antresolą, wyposażone w dobrym stylu! Blisko Śródmieście|95.16|4.0|4-7|secondary|0|0|1990.0|0.0|Apartment|1.0|13651.0|0|0|0| null|siedlce|gdansk|52.412165|22.009869
Idealne mieszkanie dla singla lub młodej pary !!!|31.0|1.0|4-7|secondary|0|1|1977.0|1.0|Apartment|1.0|12548.0|0|0|0| jacka malczewskiego|siedlce|gdansk|54.348542|18.624595
Inwestycja! Ten zakup Ci się opłaci. Idealne 2 pokoje pod najem|38.0|2.0|1-3|secondary|0|1|2019.0|0.0|Apartment|0.0|16289.0|1|0|0| rakoczego|piecki-migowo|gdansk|54.34902|18.6518
Quattro towers - 8 piętro - wysoki standard !!!|82.26|3.0|8+|secondary|1|1|2010.0|1.0|Apartment|0.0|2126.0|1|0|0| partyzantów|wrzeszcz|gdansk|54.381786|18.606236
Apartament blisko centrum i lasu - wrzeszcz!|56.0|3.0|1-3|secondary|1|1|2023.0|0.0|Apartment|0.0|19643.0|0|0|0| jaśkowa dolina|wrzeszcz|gdansk|54.369968|18.596816
Widokowy Penthouse w inwestycji Granaria|10.0|4.0|4-7|secondary|1|1|2019.0|0.0|Apartment|0.0|46078.0|1|0|0| chmielna|śródmieście|gdansk|54.346105|18.656253
Stylowe wnętrze w zabytkowej kamienicy nad Motławą|63.0|3.0|1-3|secondary|1|0|1910.0|1.0|Apartment|1.0|18810.0|0|0|0| przyokopowa|śródmieście|gdansk|54.351229|18.64977
4 pokoje z ogrodem , wys. 3 m , Zajezdnia Wrzeszcz|93.0|4.0|0|secondary|1|1|2020.0|1.0|Apartment|1.0|23548.0|0|1|0| bolesława chrobrego|wrzeszcz|gdansk|54.391209|18.617053
2 pokoje 42m2+ ogródek!|4.0|2.0|0|secondary|1|1|2016.0|0.0|Apartment|0.0|16071.0|0|0|0| dolne migowo|piecki-migowo|gdansk|54.36028|18.570231
Dwupoziomowe mieszkanie 64m2+taras 12m +hala|64.0|4.0|1-3|secondary|1|1|2023.0|0.0|Apartment|0.0|11875.0|1|0|0| topazowa|ujeścisko-łostowice|gdansk|54.31911|18.591801
Idealne pod inwestycję   0% prowizji|48.0|3.0|4-7|secondary|0|0|1930.0|1.0|Apartment|1.0|12896.0|0|0|0| null|wrzeszcz|gdansk|54.381786|18.606236
Rustykalne, Dwupoziomowe, Doskonała lokalizacja|63.0|2.0|1-3|secondary|1|0|2002.0|1.0|Apartment|0.0|9508.0|1|0|0| storczykowa|kokoszki|gdansk|54.3552|18.509753
Mieszkanie z poddaszem|64.26|3.0|1-3|secondary|1|0|2013.0|0.0|Apartment|0.0|10115.0|1|0|0| hokejowa|ujeścisko-łostowice|gdansk|54.31911|18.591801
Lokalizacja i świetne mieszkanie|42.0|2.0|1-3|secondary|1|0|1930.0|0.0|Apartment|1.0|12796.0|1|0|0| konrada leczkowa|wrzeszcz|gdansk|54.378885|18.619304
Przestronne, 5 pokoi, 2 łazienki, po remoncie|108.5|5.0|1-3|secondary|0|0|1995.0|0.0|Apartment|1.0|9179.0|1|0|0| jantarowa|obłuże|gdynia|54.554964|18.510498
3 pokoje, 50m2 z widokiem na morze i las, Okazja!|50.3|3.0|4-7|secondary|1|0|1964.0|0.0|Apartment|1.0|14911.0|1|0|0| jana matejki|wzgórze św. maksymiliana|gdynia|54.50559|18.550933
10 minut od plaży, blisko AWFiS, 1 piętro!|54.0|3.0|1-3|secondary|0|1|2019.0|0.0|Apartment|1.0|23148.0|0|0|0| null|oliwa|gdansk|54.408789|18.556846
Zamieszkaj w dwupoziomowym mieszkaniu na chełmie!|81.0|3.0|1-3|secondary|0|0|2000.0|0.0|Apartment|0.0|10836.0|0|0|0| henryka hubertusa jabłońskiego|chełm|gdansk|54.334853|18.625899
2 pokoje - niskie opłaty|41.1|2.0|1-3|secondary|0|1|2016.0|0.0|Apartment|0.0|12646.0|1|0|0| gen. mariusza zaruskiego|chwarzno-wiczlino|gdynia|54.492816|18.435755
3 ustawne pokoje na Przymorzu|54.0|3.0|1-3|secondary|1|0|1970.0|1.0|Apartment|1.0|13870.0|1|0|0| olsztyńska|przymorze|gdansk|54.404567|18.6047
Mieszkanie 44m2+duży balkon! jasień!|44.0|2.0|1-3|secondary|1|1|2016.0|0.0|Apartment|0.0|12500.0|1|0|0| kazimierza leskiego|jasień|gdansk|54.323929|18.559804
Orłowo, ul Spacerowa, garaż,winda,10 min. do plaży|93.0|4.0|1-3|secondary|1|1|1997.0|1.0|Apartment|0.0|18065.0|1|0|0| spacerowa|orłowo|gdynia|54.482154|18.55386
W d.cenie;super lokalizacja;I piętro,2000r.3pokoje|68.0|3.0|1-3|secondary|1|0|2000.0|1.0|Apartment|1.0|10279.0|1|0|0| oliwkowa|dąbrowa|gdynia|54.47118|18.470508
Okazja! Kawalerka po remoncie Chylonia! Blisko SKM|16.3|1.0|1-3|secondary|0|1|1970.0|1.0|Apartment|0.0|18344.0|0|0|0| chylońska|chylonia|gdynia|54.545155|18.460712
Sprzedam mieszkanie|31.0|1.0|1-3|secondary|0|1|1980.0|1.0|Apartment|1.0|15645.0|0|0|0| karpacka 6|oliwa|gdansk|54.415522|18.555381
Gdynia Centrum,3 pokoje,2 piętro,kamienica z cegły|64.0|3.0|1-3|secondary|1|0|1960.0|1.0|Apartment|1.0|11016.0|1|0|0| warszawska|działki leśne|gdynia|54.515929|18.53106
Ciepłe, słoneczne, 5 pok. mieszkanie na Dąbrowie|100.0|5.0|1-3|secondary|0|0|1996.0|1.0|Apartment|1.0|7990.0|0|0|0| gorczycowa|dąbrowa|gdynia|54.47161|18.462336
Nowe Budownictwo,przestronne 45m² na Jasieniu!|45.0|2.0|1-3|secondary|1|1|2013.0|0.0|Apartment|0.0|13333.0|1|1|0| aleksandry gabrysiak|jasień|gdansk|54.334843|18.557467
Mieszkanie po generalnym remoncie w Gdyni.|36.01|2.0|1-3|secondary|1|0|1970.0|0.0|Apartment|1.0|1330.0|0|0|0| augustyna kordeckiego|leszczynki|gdynia|54.529937|18.488478
Idealne dla rodziny 3 pokojowe mieszkanie|57.4|3.0|1-3|secondary|1|1|2012.0|1.0|Apartment|0.0|11307.0|1|0|0| konrada guderskiego|ujeścisko-łostowice|gdansk|54.319674|18.563248
2 pokoje NA Starym Mieście, Gdańsk|50.0|2.0|4-7|secondary|1|1|2018.0|1.0|Apartment|0.0|17800.0|1|0|0| chmielna|śródmieście|gdansk|54.346105|18.656253
Zadbane 3 pokoje w doskonałej lokalizacji|60.19|3.0|1-3|secondary|1|0|1991.0|1.0|Apartment|1.0|10450.0|1|0|0| władysława świechockiego|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Apartament z widokiem na Żurawia i Motławę - TOP|97.4|3.0|4-7|secondary|1|1|2013.0|0.0|Apartment|0.0|24630.0|0|0|0| szafarnia|śródmieście|gdansk|54.347715|18.664475
Gdynia redłowo super lokalizacja|81.0|3.0|0|secondary|1|0|1958.0|1.0|Apartment|1.0|1480.0|0|0|1| huzarska|redłowo|gdynia|54.488116|18.555791
Oksywie Górne,4pok.spokój,cisza,morze,blisko plaża|73.0|3.0|1-3|secondary|1|1|2015.0|1.0|Apartment|1.0|13100.0|1|0|0| andaluzyjska|oksywie|gdynia|54.543019|18.536056
Gdynia Redłowo; Altus;2012r. 3pokoje,garaż,komórka|66.0|3.0|8+|secondary|1|1|2012.0|1.0|Apartment|1.0|22727.0|1|0|0| legionów|wzgórze św. maksymiliana|gdynia|54.50296|18.542419
Nowoczesny apartament inwestycyjny obok SKM i UG|25.88|1.0|0|secondary|1|1|2022.0|1.0|Apartment|0.0|15770.0|0|0|0| śląska 12|przymorze|gdansk|54.406171|18.576846
W dobrej cenie i lokalizacji,3pokoje,garaż,I piętr|63.0|3.0|1-3|secondary|1|0|1998.0|1.0|Apartment|1.0|10000.0|1|0|0| sojowa|dąbrowa|gdynia|54.473863|18.465794
Kawalerka z sypialnią, ogródkiem i piwnicą|30.0|1.0|0|secondary|1|0|2020.0|0.0|Apartment|1.0|15833.0|0|0|1| null|ujeścisko-łostowice|gdansk|54.31911|18.591801
Mieszkanie dwupoziomowe w zielonej części Gdańska|64.0|3.0|1-3|secondary|1|0|2015.0|0.0|Apartment|0.0|10078.0|1|0|0| andrzeja grubby|ujeścisko-łostowice|gdansk|54.30615|18.594718
2 pokoje przy Starówce - idealne na inwestycję|31.0|2.0|4-7|secondary|0|0|1963.0|0.0|Apartment|1.0|17741.0|0|0|0| null|śródmieście|gdansk|54.351229|18.64977
2 Pokoje Z Widokiem Na Zieleń|47.0|2.0|1-3|secondary|1|1|2016.0|0.0|Apartment|0.0|13170.0|0|0|0| cedrowa|ujeścisko-łostowice|gdansk|54.333711|18.591182
Mieszkanie na sprzedaż   gdańsk morena  Gotowe|65.0|3.0|0|secondary|0|0|2011.0|1.0|Apartment|1.0|12615.0|0|1|0| królewskie wzgórze|piecki-migowo|gdansk|54.349808|18.569542
Mieszkanie na sprzedaż   do remontu   niska cena|45.0|2.0|0|secondary|1|0|1950.0|0.0|Apartment|1.0|8889.0|0|0|0| na zaspę|nowy port|gdansk|54.40139|18.669861
Osiedle Cztery Pory Roku-2 pokoje z dużym balkonem|50.55|2.0|1-3|secondary|1|0|2006.0|1.0|Apartment|1.0|11850.0|1|0|0| olimpijska|ujeścisko-łostowice|gdansk|54.31911|18.591801
Gdańsk Kokoszki ul. Borska 2-pokojowe mieszkanie na sprzedaż|51.5|2.0|1-3|secondary|0|0|2010.0|0.0|Apartment|0.0|12500.0|0|0|0| borska 2|kokoszki|gdansk|54.348591|18.478681
Mieszkanie na sprzedaż   Gdańsk Oliwa   Dobra cena|38.0|2.0|1-3|secondary|0|0|1980.0|0.0|Apartment|0.0|13000.0|0|0|0| bobrowa|oliwa|gdansk|54.408789|18.556846
Dwupokojowe  w samym centrum Witomina|38.3|2.0|1-3|secondary|1|1|2003.0|0.0|Apartment|0.0|1305.0|1|1|0| niska|witomino|gdynia|54.495464|18.506895
Sprzedam mieszkanie|48.0|2.0|1-3|secondary|0|0|1965.0|0.0|Apartment|0.0|13485.0|0|0|0| łagiewniki|śródmieście|gdansk|54.357906|18.650396
Sopot 3 pokoje w stylowej kamienicy|73.4|3.0|0|secondary|1|0|1900.0|1.0|Apartment|1.0|15926.0|0|1|0| aleja niepodległości|górny sopot|sopot|54.442402|18.559893
Wyspa Sobieszewska 2 pokoje widok na las|40.0|2.0|1-3|secondary|1|1|2024.0|0.0|Apartment|0.0|15000.0|1|0|0| klimatyczna|wyspa sobieszewska|gdansk|54.355051|18.82563
Dwupoziomowe mieszkanie w pięknej kamienicy|97.0|4.0|1-3|secondary|0|0|1910.0|0.0|Apartment|0.0|8093.0|0|0|0| adama mickiewicza|wrzeszcz|gdansk|54.383315|18.621065
Mieszkanie 32m2, słoneczne, z widokiem na las.|32.4|1.0|4-7|secondary|1|1|1982.0|0.0|Apartment|1.0|15114.0|1|0|0| wielkokacka|witomino|gdynia|54.495718|18.508438
Cicha uliczka Dolnego Wrzeszcza, blisko plaży|25.0|1.0|1-3|secondary|0|0|1940.0|0.0|Apartment|1.0|18400.0|0|0|0| zygmunta augusta|wrzeszcz|gdansk|54.388903|18.619628
Mieszkanie z cudownymi widokami- 4 pokoje!|79.3|4.0|4-7|secondary|0|1|2020.0|1.0|Apartment|0.0|13354.0|0|0|0| turzycowa|jasień|gdansk|54.340089|18.560014
Angielska Grobla: Wnętrze Pełne Możliwości|33.0|1.0|1-3|secondary|1|1|2018.0|0.0|Apartment|0.0|25800.0|1|0|0| św. barbary|śródmieście|gdansk|54.347715|18.664475
Okazja! 2 - Pokoje na Jasieniu Pod Klucz|39.0|2.0|1-3|secondary|0|0|2018.0|0.0|Apartment|0.0|14031.0|0|0|0| potęgowska|jasień|gdansk|54.340089|18.560014
Super 2 pokoje, balkon, hala, siłownia, Gd. Morena|30.31|2.0|4-7|secondary|1|1|2018.0|1.0|Apartment|0.0|19433.0|1|0|0| stanisława lema|piecki-migowo|gdansk|54.349019|18.590817
Mieszkanie (2pokoje) blisko centrum Gdańsk-Chełm|45.3|2.0|0|secondary|0|0|1941.0|1.0|Apartment|1.0|12119.0|0|1|0| łużycka|chełm|gdansk|54.340363|18.62795
3 pok. z ogródkiem, gustownie wykończone|52.6|3.0|0|secondary|1|1|2022.0|0.0|Apartment|0.0|13284.0|0|1|0| pastelowa|ujeścisko-łostowice|gdansk|54.31911|18.591801
Nowoczesne nasłonecznione mieszkanie|50.55|2.0|1-3|secondary|0|0|2006.0|0.0|Apartment|0.0|11850.0|0|0|0| olimpijska|ujeścisko-łostowice|gdansk|54.31911|18.591801
Posiadamy na sprzedaż duże mieszkanie jednopoziomo|90.5|4.0|1-3|secondary|1|0|1998.0|1.0|Apartment|1.0|11000.0|0|0|1| bądkowskiego lecha|siedlce|gdansk|54.417748|18.591424
Klima garaż komórka Gdynia słoneczne las LUX|73.0|2.0|1-3|secondary|1|1|2012.0|1.0|Apartment|0.0|15710.0|1|0|0| strzelców|mały kack|gdynia|54.475281|18.504812
Kawalerka po remoncie w kamienicy - Sopot!|30.0|1.0|1-3|secondary|1|0|1930.0|0.0|Apartment|1.0|25967.0|0|0|0| karlikowska|karlikowo|sopot|54.436814|18.574051
Gotowe 2 Pokoje Przy Plaży!|3.0|2.0|8+|secondary|0|1|1990.0|0.0|Apartment|0.0|26563.0|1|0|0| bitwy pod płowcami|karlikowo|sopot|54.433864|18.58015
3 pok. w sąsiedztwie lasu garaż komórka|88.93|3.0|1-3|secondary|1|1|2024.0|0.0|Apartment|0.0|20634.0|1|0|0| karwieńska|oliwa|gdansk|54.408789|18.556846
Jasień 2 pokoje z ogrodem + dużą piwnicą|45.0|2.0|0|secondary|0|0|2004.0|1.0|Apartment|1.0|13776.0|0|1|0| przytulna|jasień|gdansk|54.350777|18.532794
Super gotowe 2 pok., balkon, miejsce postojowe|41.35|2.0|0|secondary|1|0|2018.0|1.0|Apartment|1.0|12938.0|1|1|0| stanisława dąbka|ujeścisko-łostowice|gdansk|54.320789|18.587607
Gotowy.Apartament.3pok.Wysoki.Standard.Nadmotławie|55.61|3.0|0|secondary|1|0|2023.0|0.0|Apartment|0.0|23000.0|0|0|0| sienna grobla|śródmieście|gdansk|54.356946|18.667037
2 pokoje gotowe do zamieszkania! Gdynia Chylonia!|43.33|2.0|1-3|secondary|0|0|1980.0|0.0|Apartment|1.0|10385.0|0|0|0| gniewska|chylonia|gdynia|54.540985|18.466615
Mieszkanie w spokojnej okolicy idealne dla rodziny|57.0|3.0|1-3|secondary|1|0|2011.0|0.0|Apartment|0.0|11737.0|1|0|0| zeusa|osowa|gdansk|54.430298|18.470018
4pok z balkonem, 73m2 blisko lasu, Gdynia|73.0|4.0|1-3|secondary|1|1|2011.0|0.0|Apartment|0.0|11986.0|0|0|0| gen. mariusza zaruskiego|chwarzno-wiczlino|gdynia|54.492816|18.435755
82,5m2 blisko lasu: Gdynia, balkon, taras. komórka|82.5|3.0|0|secondary|1|0|1993.0|0.0|Apartment|0.0|8727.0|0|0|0| chabrowa|cisowa|gdynia|54.548571|18.443583
Atrakcyjne mieszkanie 2pok. 44,48 m2, Gd-Kiełpinek|44.48|2.0|0|secondary|0|0|2004.0|1.0|Apartment|1.0|13937.0|0|0|0| przytulna|jasień|gdansk|54.350777|18.532794
Okazja! 4 pokoje przy lesie blisko PKM|100.65|4.0|1-3|secondary|1|0|2006.0|0.0|Apartment|1.0|11605.0|1|0|0| nowodworcowa|wielki kack|gdynia|54.467664|18.492842
5 pokoi + taras od południa, Spółdzielcze! Gdynia|116.8|5.0|4-7|secondary|1|0|1995.0|1.0|Apartment|1.0|5984.0|0|0|0| kmdr. bolesława romanowskiego|pogórze|gdynia|54.562716|18.494186
Gdynia, nowa cena, 3 pokoje po remoncie, okazja!!!|59.0|3.0|1-3|secondary|1|0|2018.0|0.0|Apartment|0.0|12355.0|1|0|0| chylońska|chylonia|gdynia|54.545155|18.460712
Komfortowe Mieszkanie z Balkonem w Gdańsku|44.0|2.0|1-3|secondary|1|1|2016.0|0.0|Apartment|0.0|12500.0|0|0|0| kazimierza leskiego|jasień|gdansk|54.323929|18.559804
Gdynia, 3 pokoje, 1 piętro, blisko SKM, okazja!!!|54.0|3.0|1-3|secondary|0|0|1970.0|0.0|Apartment|1.0|10648.0|1|0|0| gniewska|chylonia|gdynia|54.540985|18.466615
2 Pokoje I Przymorze I Do wprowadzenia|43.0|2.0|1-3|secondary|0|0|1975.0|0.0|Apartment|0.0|14419.0|0|0|0| kołobrzeska|przymorze|gdansk|54.404177|18.592665
Gdynia, 3 pokoje z wysokimi sufitami, od zaraz!!!|63.67|3.0|0|secondary|0|0|1946.0|0.0|Apartment|1.0|10208.0|0|1|0| mikołaja reja|wzgórze św. maksymiliana|gdynia|54.504791|18.541696
Przestronne mieszkanie z balkonem|44.48|2.0|1-3|secondary|1|0|2001.0|0.0|Apartment|1.0|11691.0|1|0|0| różany stok|kokoszki|gdansk|54.355548|18.51238
3-pok do własnej aranżacji. Balkon, winda, piwnica|46.4|3.0|4-7|secondary|0|1|1962.0|0.0|Apartment|0.0|12716.0|0|0|0| wójta radtkego|śródmieście|gdynia|54.522236|18.537335
Przestronne Dwa Pokoje w Sercu Przymorza, Gdańsk|38.0|2.0|1-3|secondary|0|1|1970.0|0.0|Apartment|0.0|13553.0|0|0|0| jagiellońska|przymorze|gdansk|54.412561|18.5956
Gdynia Działki Leśne, słoneczna kawalerka, okazja!|26.5|1.0|4-7|secondary|0|0|1968.0|0.0|Apartment|1.0|14291.0|0|0|0| szczecińska|działki leśne|gdynia|54.517586|18.518323
2-pokoje przymorze|38.0|2.0|4-7|secondary|0|1|1970.0|0.0|Apartment|0.0|13684.0|1|0|0| bydgoska|przymorze|gdansk|54.410373|18.58253
Gdynia Działki! 2 pokoje z balkonem, od zaraz!!!|47.85|2.0|1-3|secondary|1|0|1962.0|0.0|Apartment|1.0|11034.0|0|0|0| śląska|działki leśne|gdynia|54.514401|18.53274
Jasne mieszkanie z balkonem - Pierwszy Właścicie!l|45.0|2.0|4-7|secondary|1|0|2017.0|0.0|Apartment|0.0|1.0|0|0|0| jaśminowy stok|kokoszki|gdansk|54.354539|18.509256
Przestronne, 3-pokojowe, gotowe do życia|52.4|3.0|1-3|secondary|1|0|2014.0|0.0|Apartment|0.0|11450.0|0|0|0| kazimierza leskiego|jasień|gdansk|54.323929|18.559804
Przymorze 2 pokoje Doskonała lokalizacja Balkon|46.0|2.0|1-3|secondary|0|1|1966.0|1.0|Apartment|0.0|14978.0|1|0|0| piastowska|przymorze|gdansk|54.416119|18.586288
Mieszkanie 4 pokojowe we Wrzeszczu|74.8|4.0|4-7|secondary|1|0|1987.0|1.0|Apartment|1.0|12500.0|1|0|0| współczesna|wrzeszcz|gdansk|54.381786|18.606236
Apartament w Centrum Gdyni, 3 pokoje, balkon.|74.0|3.0|1-3|secondary|1|0|1930.0|0.0|Apartment|1.0|18905.0|1|0|0| marsz. piłsudskiego|kamienna góra|gdynia|54.508513|18.544513
Piękne mieszkanie w samym centrum Gdyni|36.0|2.0|1-3|secondary|1|0|1973.0|0.0|Apartment|1.0|16639.0|1|0|0| antoniego abrahama|śródmieście|gdynia|54.51678|18.540095
Ekskluzywny Apartament z widokiem na wodę !|30.66|1.0|4-7|secondary|0|1|2023.0|0.0|Apartment|0.0|22831.0|1|0|0| sienna grobla|śródmieście|gdansk|54.356946|18.667037
2 pokoje, pełne wyposażenie, wysoki standard !!!|30.0|2.0|1-3|secondary|0|0|2017.0|0.0|Apartment|0.0|19300.0|0|0|0| szczecińska|przymorze|gdansk|54.402035|18.581597
Przetarg - mieszkanie przy ul.Świechockiego 3|63.1|3.0|0|secondary|0|0|1990.0|0.0|Apartment|0.0|7990.0|0|0|0| świechockiego 3|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Mieszkanie rodzinne - Jasień, Damroki|90.3|4.0|0|secondary|0|0|1993.0|0.0|Apartment|1.0|11063.0|1|1|0| damroki|jasień|gdansk|54.341704|18.566283
Apartamentowiec|63.0|3.0|4-7|secondary|0|0|2020.0|0.0|Apartment|0.0|23000.0|0|0|0| null|śródmieście|gdynia|54.5198415|18.538188
Sprzedam mieszkanie 76,1 m2 Bernadowo ogród garaż|76.1|4.0|1-3|secondary|1|0|1998.0|1.0|Apartment|0.0|1511.0|0|1|0| wzgórze bernadowo|mały kack|gdynia|54.468501|18.513716
Przestronne, 2 balkony, 2 łazienki, sauna|100.0|4.0|1-3|secondary|1|1|2020.0|1.0|Apartment|0.0|9700.0|1|0|0| bieszczadzka|wielki kack|gdynia|54.467664|18.492842
Nowoczesne 3-pokojowe mieszkanie z balkonem zlokal|61.61|3.0|1-3|secondary|1|1|2023.0|1.0|Apartment|1.0|10144.0|1|0|0| wieżycka|ujeścisko-łostowice|gdansk|54.318534|18.582584
Piękne 2 pokojowe mieszkanie z balkonem i piwnicą!|37.91|2.0|0|secondary|1|1|1972.0|1.0|Apartment|1.0|13057.0|1|1|0| lubawska|chylonia|gdynia|54.541477|18.463162
Blisko centrum, przystanek 3 minuty|6.0|3.0|1-3|secondary|0|0|1994.0|0.0|Apartment|0.0|10484.0|0|0|0| null|siedlce|gdansk|52.412165|22.009869
Do wejścia   po generalnym remoncie   SKM 10min|34.0|2.0|4-7|secondary|0|0|1970.0|0.0|Apartment|1.0|12853.0|1|0|0| chylońska|cisowa|gdynia|54.545155|18.460712
Mieszkanie - Gdańsk Oliwa|55.0|3.0|1-3|secondary|1|0|1920.0|1.0|Apartment|0.0|14475.0|0|0|0| drzymały wojciecha|oliwa|gdansk|54.408789|18.556846
Mieszkanie - Gdańsk Zakoniczyn|68.5|3.0|1-3|secondary|0|0|2005.0|0.0|Apartment|0.0|10073.0|0|0|0| kazimierza porębskiego|ujeścisko-łostowice|gdansk|54.320638|18.577644
Mieszkanie 2-pokojowe Gdynia Chylonia|44.66|2.0|1-3|secondary|0|0|1970.0|0.0|Apartment|0.0|891.0|0|0|0| kcyńska 7|chylonia|gdynia|54.544643|18.453314
Mieszkanie 2 pokojowe na osiedlu Bernadowo Park|4.0|2.0|1-3|secondary|1|1|2019.0|0.0|Apartment|0.0|17357.0|1|0|0| kameralna|mały kack|gdynia|54.470705|18.519815
Atrakcyjnie położone mieszkanie przy Warszawskiej|52.7|2.0|1-3|secondary|0|0|1989.0|0.0|Apartment|0.0|12258.0|0|0|0| warszawska|działki leśne|gdynia|54.515929|18.53106
Komfort, styl, Brabank – Twój nowy adres w Gdańsku|50.19|2.0|1-3|secondary|1|1|2017.0|1.0|Apartment|0.0|29886.0|1|0|0| stara stocznia|śródmieście|gdansk|54.355462|18.661959
Komfortowe mieszkanie z pięknym widokiem|43.94|2.0|1-3|secondary|1|1|2016.0|0.0|Apartment|0.0|12517.0|1|0|0| kazimierza leskiego|jasień|gdansk|54.323929|18.559804
Kawalerka - ul. Raduńska 19|26.0|1.0|1-3|secondary|0|0|1970.0|0.0|Apartment|0.0|14038.0|0|0|0| raduńska|orunia-św. wojciech-lipce|gdansk|54.326383|18.632092
Wysoki standard, 2-pokoje z przyjemnym widokiem|37.0|2.0|0|secondary|1|0|2023.0|0.0|Apartment|0.0|14865.0|0|1|0| hokejowa|ujeścisko-łostowice|gdansk|54.31911|18.591801
Piękne mieszkanie w samym sercu Sopotu|89.0|3.0|1-3|secondary|1|1|2006.0|0.0|Apartment|0.0|27781.0|1|0|0| jana jerzego haffnera|dolny sopot|sopot|54.450494|18.561312
Mieszkanie na przymorzu blisko morza|46.0|2.0|1-3|secondary|0|1|1973.0|0.0|Apartment|1.0|13674.0|1|0|0| obrońców wybrzeża|przymorze|gdansk|54.41007|18.596302
Inwestycja!Blisko UG, Opera Leśna, molo i plaża!|18.0|1.0|4-7|secondary|0|1|1970.0|0.0|Apartment|0.0|21667.0|0|0|0| 23 marca|górny sopot|sopot|54.447642|18.54261
Kawalerka w kamienicy blisko morza w Gdyni|31.98|1.0|1-3|secondary|1|0|1930.0|0.0|Apartment|0.0|21576.0|1|0|0| skwer kościuszki|śródmieście|gdynia|54.5190345|18.544665
Inpro Harmonia Oliwska 3 pokoje garaż piwnica|55.0|3.0|1-3|secondary|1|1|2018.0|0.0|Apartment|1.0|21636.0|1|0|1| null|oliwa|gdansk|54.408789|18.556846
Unikatowe w otulinie lasu, taras, dwa poziomy!|82.5|4.0|1-3|secondary|0|0|1981.0|0.0|Apartment|1.0|8836.0|1|0|0| chabrowa|pustki cisowskie-demptowo|gdynia|54.543602|18.458985
Mały Kack mieszkanie 1 pokojowe, Cadena Park|33.3|1.0|0|secondary|1|0|2002.0|1.0|Apartment|0.0|14985.0|0|0|1| parkowa 8|mały kack|gdynia|54.470766|18.516292
Ekskluzywne apartamenty w centrum Gdyni|124.74|5.0|8+|secondary|1|0|2015.0|0.0|Apartment|0.0|28860.0|1|0|0| zygmunta augusta|śródmieście|gdynia|54.520471|18.540307
Gdańsk Starówka   obok Motławy   cisza|41.68|2.0|1-3|secondary|1|0|1950.0|1.0|Apartment|1.0|19674.0|0|0|0| św. ducha|śródmieście|gdansk|54.350113|18.655429
2 pokoje z garderobą NOWE i gotowe|4.0|2.0|1-3|secondary|1|1|2023.0|1.0|Apartment|0.0|11643.0|1|0|0| władysława jagiełły|orunia-św. wojciech-lipce|gdansk|54.302663|18.615512
3 pokoje|49.94|2.0|1-3|secondary|1|1|2003.0|1.0|Apartment|0.0|1019.0|1|0|0| wielkokacka|witomino|gdynia|54.495718|18.508438
Gdynia, ul. Kcyńska - mieszkanie na sprzedaż|53.6|3.0|4-7|secondary|1|1|1975.0|1.0|Apartment|1.0|12034.0|1|0|0| kcyńska|cisowa|gdynia|54.548571|18.443583
2 oddzielne pokoje, możliwość zrobienia 3 !!!|38.0|2.0|8+|secondary|0|0|1970.0|0.0|Apartment|0.0|11974.0|1|0|0| aleja rzeczypospolitej|przymorze|gdansk|54.398857|18.594873
Nowe studio blisko morza|27.96|1.0|1-3|secondary|1|1|2024.0|1.0|Apartment|0.0|17024.0|0|0|0| strzelców|mały kack|gdynia|54.475281|18.504812
3 pokoje w Gdyni blisko morza.|71.4|3.0|0|secondary|1|0|1997.0|0.0|Apartment|0.0|19566.0|0|0|0| spacerowa|orłowo|gdynia|54.482154|18.55386
Gdynia Wielki Kack;ciche;2 pokoje,2 piętro; loggia|48.0|2.0|1-3|secondary|1|0|2000.0|1.0|Apartment|1.0|12083.0|1|0|0| damroki|wielki kack|gdynia|54.467664|18.492842
2 pokoje 38m2+balkon+ komórka! gdańsk!|38.0|2.0|1-3|secondary|1|1|1970.0|0.0|Apartment|0.0|12500.0|1|0|0| obrońców wybrzeża|przymorze|gdansk|54.41007|18.596302
Najtansze mieszkanie na morenie|42.5|2.0|4-7|secondary|0|0|1978.0|0.0|Apartment|0.0|12000.0|0|0|0| piecewska|piecki-migowo|gdansk|54.358093|18.589002
Dobra cena;2006;Mały Kack;3-pokowy apart.z garażem|98.1|3.0|1-3|secondary|1|0|2006.0|1.0|Apartment|1.0|11988.0|0|0|1| parkowa|mały kack|gdynia|54.471373|18.516492
Spokojne, strzeżone osiedle- dobrze skomunikowane|53.0|3.0|1-3|secondary|0|0|2011.0|1.0|Apartment|0.0|12623.0|1|0|0| zeusa|osowa|gdansk|54.430298|18.470018
Mieszkanie w stylu glamour z ogródkiem|44.16|2.0|0|secondary|1|1|2018.0|1.0|Apartment|0.0|12908.0|0|1|0| turzycowa|jasień|gdansk|54.340089|18.560014
