title|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
Gdańsk- 3 pok. 52,52 mkw, ul. Słowackiego|52.25|3.0|4-7|secondary|1|0|1976.0|1.0|Apartment|1.0|12421.05|1|0|0|juliusza słowackiego|wrzeszcz górny|gdansk|54.381217|18.59427
2 pokoje/ Przymorze/ przy Parku Reagana|45.0|2.0|1-3|secondary|1|0|1970.0|1.0|Apartment|1.0|13977.78|1|0|0|chłopska|przymorze|gdansk|54.354195|18.650385
"Apartament nadmorski - ""Nadmorze"" Invest Komfort"|78.71|3.0|4-7|secondary|1|1|2018.0|0.0|Apartment|0.0|27709.31|1|0|0|ignacego krasickiego|brzeźno|gdansk|54.254613|18.635465
120m własnego ogródka_Słoneczne Płd-Zach.|55.31|3.0|0|primary|1|1|2025.0|1.0|Apartment|0.0|9797.5|0|1|1||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Ładny widok_najtaniejj w okolicy_6,5km od centrum|49.71|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9683.91|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Prestiżowe osiedle/ Kawalerka/ Spokojna okolica|30.0|1.0|1-3|secondary|1|1|2024.0|1.0|Apartment|0.0|12666.67|1|0|0|czereśniowa|ujeścisko-łostowice|gdansk|54.31911|18.591801
Apartament Nad Motławą wysoki standard|40.11|2.0|1-3|secondary|1|1|2020.0|0.0|Apartment|0.0|19945.15|1|0|0|sienna grobla|śródmieście|gdansk|54.356946|18.667037
Mieszkanie z ogródkiem - wysoki standard|40.06|2.0|0|secondary|0|1|2023.0|0.0|Apartment|0.0|14952.57|0|1|1|ignacego paderewskiego|wzgórze św. maksymiliana|gdynia|54.505362|18.552347
"3 pokoje | Słoneczne | Oddzielna kuchnia | Balkon"|67.0|3.0|1-3|secondary|1|0|2000.0|1.0|Apartment|1.0|9537.31|1|0|0|gen. leopolda okulickiego|orunia górna - gdańsk południe|gdansk|54.104377|18.770011
Trzy pokojowe mieszkanie po remoncie|60.6|3.0|1-3|secondary|0|0|1984.0|1.0|Apartment|0.0|10231.02|1|0|0|kolonia zręby|siedlce|gdansk|54.35115|18.60586
Nowa cena! Nie zwlekaj, zadzwoń.|63.5|3.0|1-3|secondary|0|0|1991.0|0.0|Apartment|1.0|9118.11|1|0|0|zamiejska|chełm|gdansk|54.333519|18.628732
Mieszkanie z dużą antresolą- stan deweloperski|87.45|3.0|1-3|primary|0|1|2024.0|0.0|Apartment|0.0|8141.8|1|0|0||kokoszki|gdansk|54.354766|18.491171
Kaskada Redłowska/2 pokoje/m-ce postojowe|52.19|2.0|1-3|secondary|1|1|2006.0|1.0|Apartment|0.0|13795.77|1|0|0||wzgórze św. maksymiliana|gdynia|54.50296|18.542419
Mieszkanie o wysokim standardzie nad samym morzem!|83.0|2.0|1-3|secondary|0|1|2014.0|0.0|Apartment|0.0|23493.98|0|0|0||przymorze|gdansk|54.354195|18.650385
4-Pokojowe , przytulne mieszkanie, duża loggia.|76.01|4.0|1-3|secondary|0|0|2002.0|1.0|Apartment|1.0|10511.77|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Mieszkanie/Apartament 3 pok. Gdańsk Śródmieście|69.95|3.0|0|secondary|1|1|2019.0|0.0|Apartment|1.0|23588.28|0|1|1|sadowa|śródmieście|gdansk|54.344251|18.669081
Twoja Dąbrowa, 3 pokoje Gotowe/OSTATNIE MIESZKANIE|53.33|3.0|1-3|primary|1|1|2023.0|0.0|Apartment|1.0|11900.0|1|0|0|koperkowa|dąbrowa|gdynia|54.476685|18.4647
Świetne mieszkanie w sercu Gdańska od zaraz!|40.0|2.0|1-3|secondary|0|0|1950.0|0.0|Apartment|0.0|16475.0|0|0|0|łagiewniki|śródmieście|gdansk|54.357906|18.650396
Apartament z tarasem na Gdańskim Garnizonie|80.5|4.0|0|secondary|0|1|2012.0|0.0|Apartment|0.0|18633.54|0|0|0|antoniego słonimskiego|wrzeszcz górny|gdansk|54.383986|18.590556
3 pok. Generalny remont. Blisko Lasu i SKM.|46.0|3.0|4-7|secondary|0|1|1985.0|1.0|Apartment|1.0|12152.17|1|0|0|swarzewska|chylonia|gdynia|54.537917|18.463613
Doskonała inwestycja!! Zaledwie 3km od morza|47.57|2.0|1-3|primary|0|1|2026.0|0.0|Apartment|0.0|16200.0|1|0|0|aleja gen. józefa hallera|wrzeszcz dolny|gdansk|54.392372|18.622213
Gotowe do zamieszkania, świeżo po remoncie.|36.9|2.0|8+|secondary|0|1|1971.0|0.0|Apartment|0.0|16775.07|1|0|0|pomorska|Żabianka-Wejhera-Jelitkowo-Tysiąclecia|gdansk|54.420659|18.571526
Apartament z najpiękniejszym widokiem w Gdańsku !|109.4|4.0|4-7|secondary|0|0|2010.0|0.0|Apartment|0.0|33820.84|0|0|0|szafarnia|śródmieście|gdansk|54.349195|18.660263
Fitness/Lobby - 10 min do plaży - Słoneczne|43.0|2.0|1-3|primary|1|1|2023.0|1.0|Apartment|0.0|15325.58|1|0|1|bernarda filarskiego|letnica|gdansk|54.401382|18.651679
2 pokoje/ Apartament/ Przymorze/ blisko plaży|83.0|2.0|1-3|secondary|1|1|2014.0|1.0|Apartment|0.0|23493.98|1|0|0|czarny dwór|przymorze|gdansk|54.407909|18.610113
365 650 Netto_5min Wyspa Spichrzów +BONUS 26-27.04|29.68|1.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|15154.14|0|1|1||śródmieście|gdansk|54.34902|18.6518
MEGA OFERTY rabatowe tylko do SOBOTY_garaże_0pcc|56.5|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9050.44|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Doskonała inwestycja!! Zaledwie 3km od morza|64.57|3.0|1-3|primary|0|1|2026.0|0.0|Apartment|0.0|14633.99|1|0|0|aleja gen. józefa hallera|wrzeszcz dolny|gdansk|54.392372|18.622213
Piękne, jasne mieszkanie przy ul. Chłopskiej|29.0|2.0|4-7|secondary|0|0|1963.0|1.0|Apartment|1.0|15689.66|1|0|0|chłopska|przymorze|gdansk|52.929098|10.527323
Niepołomicka-Wasze miejsce na ziemi!|41.08|2.0|1-3|secondary|1|1|2022.0|1.0|Apartment|0.0|13875.37|1|0|0|niepołomicka|ujeścisko-łostowice|gdansk|54.31911|18.591801
